,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros
0,ADA,ADA,0,0,11,0,0,1,11,11,1,0,not specific,11
1,ADA,ADE,1,0,0,2,2,3,5,2.5,1,2,not specific,5
2,ADA,ADF,0,0,0,1,0,1,1,1,0,1,not specific,1
3,ADA,ADL,0,0,2,0,0,1,2,2,1,0,not specific,2
4,ADA,AIA,2,0,3,0,0,2,5,2.5,2,0,not specific,5
5,ADA,AIB,6,0,10,6,6,4,28,7,2,2,not specific,28
6,ADA,AIZ,0,0,0,3,0,1,3,0.75,0,1,not specific,3
7,ADA,ALM,0,0,0,3,0,1,3,0.6,0,1,not specific,3
8,ADA,ALN,0,0,0,7,0,1,7,2.3333333333333335,0,1,not specific,7
9,ADA,ASH,0,0,2,0,0,1,2,0.5,1,0,not specific,2
10,ADA,AVA,3,5,17,20,6,5,51,10.2,3,2,core,51
11,ADA,AVB,28,45,62,18,5,5,158,158,3,2,core,158
12,ADA,AVD,1,1,8,31,10,5,51,12.75,3,2,core,51
13,ADA,AVE,4,1,4,28,29,5,66,33,3,2,core,66
14,ADA,AVJ,10,18,24,20,12,5,84,42,3,2,core,84
15,ADA,AVK,0,0,0,2,0,1,2,2,0,1,not specific,2
16,ADA,AWA,0,0,0,0,2,1,2,0.4,0,1,not specific,2
17,ADA,AWB,0,0,0,0,2,1,2,2,0,1,not specific,2
18,ADA,DVA,3,0,0,7,2,3,12,12,1,2,not specific,12
19,ADA,OLQ,0,1,0,9,6,3,16,8,1,2,not specific,16
20,ADA,PVP,0,0,1,0,0,1,1,,1,0,not specific,1
21,ADA,PVQ,0,0,0,1,0,1,1,0.3333333333333333,0,1,not specific,1
22,ADA,PVR,0,0,0,2,6,2,8,8,0,2,pristi_specific,8
23,ADA,RIA,0,0,0,15,14,2,29,29,0,2,pristi_specific,29
24,ADA,RIB,0,0,0,2,0,1,2,1,0,1,not specific,2
25,ADA,RIC,3,1,4,6,0,4,14,7,3,1,not specific,14
26,ADA,RIF,1,0,1,0,0,2,2,2,2,0,not specific,2
27,ADA,RIM,13,11,38,15,4,5,81,81,3,2,core,81
28,ADA,RIP,8,11,13,0,0,3,32,10.666666666666666,3,0,cel_specific,32
29,ADA,RIV,0,0,5,0,0,1,5,1.25,1,0,not specific,5
30,ADA,RMF,1,4,0,0,3,3,8,2.6666666666666665,2,1,not specific,8
31,ADA,RMG,0,0,0,1,0,1,1,1,0,1,not specific,1
32,ADA,SAA,1,1,0,0,0,2,2,2,2,0,not specific,2
33,ADA,SDQ,0,0,0,1,0,1,1,1,0,1,not specific,1
34,ADA,SIB,0,0,0,4,3,2,7,7,0,2,pristi_specific,7
35,ADA,SMD,1,2,4,5,0,4,12,12,3,1,not specific,12
36,ADA,URA,0,0,1,0,0,1,1,0.5,1,0,not specific,1
