,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros
0,ADA,ADA,0.0,0.0,11.0,0.0,0.0,1,11.0,11.0,1,0,not specific,11.0
1,ADA,ADE,1.0,0.0,0.0,2.0,2.0,3,5.0,2.5,1,2,not specific,5.0
2,ADA,ADF,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0
3,ADA,ADL,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
4,ADA,AIA,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific,5.0
5,ADA,AIB,6.0,0.0,10.0,6.0,6.0,4,28.0,7.0,2,2,not specific,28.0
6,ADA,AIZ,0.0,0.0,0.0,3.0,0.0,1,3.0,0.75,0,1,not specific,3.0
7,ADA,ALM,0.0,0.0,0.0,3.0,0.0,1,3.0,0.6,0,1,not specific,3.0
8,ADA,ALN,0.0,0.0,0.0,7.0,0.0,1,7.0,2.3333333333333335,0,1,not specific,7.0
9,ADA,ASH,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0
10,ADA,AVA,3.0,5.0,17.0,20.0,6.0,5,51.0,10.2,3,2,core,51.0
11,ADA,AVB,28.0,45.0,62.0,18.0,5.0,5,158.0,158.0,3,2,core,158.0
12,ADA,AVD,1.0,1.0,8.0,31.0,10.0,5,51.0,12.75,3,2,core,51.0
13,ADA,AVE,4.0,1.0,4.0,28.0,29.0,5,66.0,33.0,3,2,core,66.0
14,ADA,AVJ,10.0,18.0,24.0,20.0,12.0,5,84.0,42.0,3,2,core,84.0
15,ADA,AVK,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
16,ADA,AWA,0.0,0.0,0.0,0.0,2.0,1,2.0,0.4,0,1,not specific,2.0
17,ADA,AWB,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific,2.0
18,ADA,DVA,3.0,0.0,0.0,7.0,2.0,3,12.0,12.0,1,2,not specific,12.0
19,ADA,OLQ,0.0,1.0,0.0,9.0,6.0,3,16.0,8.0,1,2,not specific,16.0
20,ADA,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,,1,0,not specific,1.0
21,ADA,PVQ,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific,1.0
22,ADA,PVR,0.0,0.0,0.0,2.0,6.0,2,8.0,8.0,0,2,pristi_specific,8.0
23,ADA,RIA,0.0,0.0,0.0,15.0,14.0,2,29.0,29.0,0,2,pristi_specific,29.0
24,ADA,RIB,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific,2.0
25,ADA,RIC,3.0,1.0,4.0,6.0,0.0,4,14.0,7.0,3,1,not specific,14.0
26,ADA,RIF,1.0,0.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
27,ADA,RIM,13.0,11.0,38.0,15.0,4.0,5,81.0,81.0,3,2,core,81.0
28,ADA,RIP,8.0,11.0,13.0,0.0,0.0,3,32.0,10.666666666666666,3,0,cel_specific,32.0
29,ADA,RIV,0.0,0.0,5.0,0.0,0.0,1,5.0,1.25,1,0,not specific,5.0
30,ADA,RMF,1.0,4.0,0.0,0.0,3.0,3,8.0,2.6666666666666665,2,1,not specific,8.0
31,ADA,RMG,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0
32,ADA,SAA,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
33,ADA,SDQ,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0
34,ADA,SIB,0.0,0.0,0.0,4.0,3.0,2,7.0,7.0,0,2,pristi_specific,7.0
35,ADA,SMD,1.0,2.0,4.0,5.0,0.0,4,12.0,12.0,3,1,not specific,12.0
36,ADA,URA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
37,ADA,URX,2.0,0.0,3.0,0.0,0.0,2,5.0,5.0,2,0,not specific,5.0
38,ADA,URY,0.0,0.0,2.0,2.0,0.0,2,4.0,2.0,1,1,not specific,4.0
39,ADE,ADA,2.0,2.0,2.0,6.0,0.0,4,12.0,12.0,3,1,not specific,12.0
40,ADE,ADE,9.0,8.0,14.0,0.0,0.0,3,31.0,31.0,3,0,cel_specific,31.0
41,ADE,AIN,0.0,2.0,0.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific,2.0
42,ADE,ALM,1.0,1.0,1.0,0.0,0.0,3,3.0,1.0,3,0,cel_specific,3.0
43,ADE,ALN,2.0,2.0,1.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0
44,ADE,AQR,3.0,0.0,0.0,11.0,4.0,3,18.0,18.0,1,2,not specific,18.0
45,ADE,ASI,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
46,ADE,ASJ,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
47,ADE,AVA,12.0,9.0,46.0,17.0,17.0,5,101.0,33.666666666666664,3,2,core,101.0
48,ADE,AVB,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0
49,ADE,AVD,0.0,2.0,7.0,1.0,0.0,3,10.0,2.0,2,1,not specific,10.0
50,ADE,AVE,1.0,1.0,7.0,0.0,0.0,3,9.0,2.25,3,0,cel_specific,9.0
51,ADE,AVH,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
52,ADE,AVJ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
53,ADE,AVK,5.0,4.0,0.0,0.0,0.0,2,9.0,3.0,2,0,not specific,9.0
54,ADE,AVL,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific,1.0
55,ADE,BDU,1.0,0.0,1.0,0.0,0.0,2,2.0,0.4,2,0,not specific,2.0
56,ADE,CEP,5.0,5.0,8.0,0.0,0.0,3,18.0,18.0,3,0,cel_specific,18.0
57,ADE,DVA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
58,ADE,DVC,2.0,0.0,0.0,8.0,0.0,2,10.0,10.0,1,1,not specific,10.0
59,ADE,FLP,1.0,1.0,9.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0
60,ADE,IL1,8.0,5.0,4.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0
61,ADE,IL2,3.0,4.0,6.0,0.0,0.0,3,13.0,13.0,3,0,cel_specific,13.0
62,ADE,OLL,6.0,2.0,10.0,0.0,0.0,3,18.0,9.0,3,0,cel_specific,18.0
63,ADE,PVN,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
64,ADE,PVP,1.0,0.0,0.0,4.0,0.0,2,5.0,1.0,1,1,not specific,5.0
65,ADE,PVR,0.0,2.0,0.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific,2.0
66,ADE,PVT,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
67,ADE,RIA,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific,3.0
68,ADE,RIF,0.0,1.0,1.0,4.0,0.0,3,6.0,3.0,2,1,not specific,6.0
69,ADE,RIG,34.0,34.0,87.0,56.0,35.0,5,246.0,246.0,3,2,core,246.0
