,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset6_vol.csv' with 81 nodes and 1840 edges_weight,witvliet_dataset5_vol.csv' with 87 nodes and 2039 edges_weight,witvliet_dataset3_vol.csv' with 76 nodes and 1591 edges_weight,witvliet_dataset2_vol.csv' with 75 nodes and 1566 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,witvliet_dataset4_vol.csv' with 84 nodes and 1889 edges_weight,cel_n2u_adjacency.csv' with 84 nodes and 1974 edges_weight,witvliet_dataset1_vol.csv' with 77 nodes and 1623 edges_weight,cel_jsh_nr_adj.csv' with 84 nodes and 1974 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
0,ADA,ADA,7320.0,1301.0,0.0,0.0,176400.0,114688.0,93360.0,50280.0,718.0,137400.0,718.0,9,64687.22222222222,7,2,no,no,yes
1,ADA,ADE,8884.0,5735.0,967464.0,1412280.0,594360.0,564224.0,3714000.0,812520.0,32148.0,303360.0,32148.0,11,767920.2727272727,9,2,no,no,yes
2,ADA,ADF,1827.0,170.0,206806.0,552840.0,61080.0,57344.0,987600.0,335160.0,13532.0,18000.0,13532.0,11,204353.72727272726,9,2,no,no,yes
3,ADA,ADL,6131.0,5464.0,1343231.0,667200.0,463920.0,199680.0,2946000.0,514560.0,25870.0,181200.0,25870.0,11,579920.5454545454,9,2,no,no,yes
4,ADA,AIB,4440.0,4488.0,536953.0,374520.0,265320.0,303360.0,884160.0,240000.0,26466.0,215520.0,26466.0,11,261972.0909090909,9,2,no,no,yes
5,ADA,AIZ,11989.0,5754.0,232151.0,310920.0,0.0,225536.0,14160.0,116760.0,1534.0,133440.0,1534.0,10,105377.8,8,2,no,no,yes
6,ADA,ALM,1978.0,4195.0,2487428.0,2082120.0,1104360.0,1058816.0,2490240.0,1026240.0,2650.0,468840.0,2650.0,11,975410.6363636364,9,2,no,no,yes
7,ADA,ALN,1964.0,0.0,6082.0,58440.0,0.0,0.0,6000.0,0.0,314.0,0.0,314.0,6,12185.666666666666,5,1,no,no,yes
8,ADA,AQR,157.0,1449.0,978277.0,201480.0,0.0,0.0,1593120.0,205080.0,10994.0,0.0,10994.0,8,375193.875,6,2,no,no,yes
9,ADA,AVA,28942.0,19820.0,4699790.0,3385080.0,1909080.0,2582528.0,9567360.0,2222760.0,57252.0,1650480.0,57252.0,11,2380031.272727273,9,2,no,no,yes
10,ADA,AVB,18117.0,12414.0,5651373.0,3999360.0,1383960.0,2023424.0,12387120.0,1593600.0,42019.0,881400.0,42019.0,11,2548618.727272727,9,2,no,no,yes
11,ADA,AVD,15581.0,7836.0,1491915.0,1478280.0,623640.0,803584.0,2606400.0,677760.0,21166.0,864360.0,21166.0,11,782880.7272727273,9,2,no,no,yes
12,ADA,AVE,14901.0,19650.0,201398.0,561360.0,81600.0,248320.0,518640.0,53040.0,2517.0,99360.0,2517.0,11,163936.63636363635,9,2,no,no,yes
13,ADA,AVJ,17129.0,12743.0,865412.0,588720.0,367080.0,534528.0,2580240.0,397200.0,6162.0,425520.0,6162.0,11,527354.1818181818,9,2,no,no,yes
14,ADA,AVK,25044.0,11274.0,0.0,0.0,0.0,0.0,45600.0,10440.0,2876.0,11640.0,2876.0,7,15678.57142857143,5,2,no,no,yes
15,ADA,AWA,232.0,3806.0,0.0,102360.0,6480.0,7168.0,328080.0,3840.0,3626.0,73320.0,3626.0,10,53253.8,8,2,no,no,yes
16,ADA,AWB,5583.0,18728.0,290272.0,237840.0,196800.0,281344.0,441120.0,138360.0,5220.0,117720.0,5220.0,11,158018.81818181818,9,2,no,no,yes
17,ADA,BDU,4481.0,23533.0,134829.0,352800.0,272040.0,534272.0,449040.0,336360.0,6834.0,112440.0,6834.0,11,203042.0909090909,9,2,no,no,yes
18,ADA,CEP,460.0,292.0,232150.0,311040.0,295680.0,490240.0,189120.0,136440.0,920.0,63240.0,920.0,11,156409.27272727274,9,2,no,no,yes
19,ADA,DVA,25593.0,18675.0,1970073.0,1854480.0,1299120.0,1600256.0,2680080.0,1444440.0,31409.0,438960.0,31409.0,11,1035863.1818181818,9,2,no,no,yes
20,ADA,DVC,449.0,1974.0,14192.0,0.0,12480.0,39680.0,960.0,2760.0,0.0,0.0,0.0,7,10356.42857142857,5,2,no,no,yes
21,ADA,HSN,10780.0,0.0,0.0,0.0,0.0,0.0,796080.0,0.0,1874.0,0.0,1874.0,4,202652.0,3,1,no,no,yes
22,ADA,IL1,2027.0,2095.0,54404.0,39720.0,53640.0,32256.0,307680.0,6120.0,523.0,44640.0,523.0,11,49420.72727272727,9,2,no,no,yes
23,ADA,IL2,7520.0,8497.0,195315.0,274680.0,64560.0,184832.0,414960.0,31800.0,3858.0,111480.0,3858.0,11,118305.45454545454,9,2,no,no,yes
24,ADA,OLL,1957.0,1824.0,34129.0,79320.0,0.0,3328.0,0.0,0.0,4.0,9840.0,4.0,8,16300.75,6,2,no,no,yes
25,ADA,OLQ,3627.0,1313.0,266280.0,386400.0,164760.0,506624.0,878400.0,262440.0,859.0,445320.0,859.0,11,265171.0909090909,9,2,no,no,yes
26,ADA,PVN,2025.0,14146.0,0.0,0.0,0.0,0.0,0.0,0.0,6072.0,0.0,6072.0,4,7078.75,2,2,no,no,yes
27,ADA,PVP,7613.0,11092.0,939079.0,1027680.0,268080.0,590336.0,828240.0,362040.0,6942.0,521520.0,6942.0,11,415414.9090909091,9,2,no,no,yes
28,ADA,PVR,31522.0,10498.0,109824.0,392520.0,316680.0,668416.0,685680.0,201240.0,4225.0,201840.0,4225.0,11,238788.18181818182,9,2,no,no,yes
29,ADA,PVT,4783.0,1387.0,0.0,0.0,0.0,0.0,7920.0,0.0,0.0,0.0,0.0,3,4696.666666666667,1,2,no,no,yes
30,ADA,RIA,4567.0,5059.0,76707.0,300120.0,132720.0,122880.0,348720.0,200160.0,2358.0,40200.0,2358.0,11,112349.90909090909,9,2,no,no,yes
31,ADA,RIC,32768.0,19628.0,2166403.0,3246480.0,1876320.0,3039744.0,6607680.0,2287920.0,40749.0,2462160.0,40749.0,11,1983691.0,9,2,no,no,yes
32,ADA,RIF,3958.0,2249.0,333526.0,512880.0,540480.0,740864.0,791280.0,225960.0,8299.0,350040.0,8299.0,11,319803.1818181818,9,2,no,no,yes
33,ADA,RIG,4314.0,0.0,0.0,0.0,0.0,14336.0,0.0,8160.0,0.0,0.0,0.0,3,8936.666666666666,2,1,no,no,yes
34,ADA,RIM,17217.0,11866.0,6709063.0,5924160.0,1421280.0,1731072.0,12327360.0,1739640.0,76387.0,708600.0,76387.0,11,2794821.090909091,9,2,no,no,yes
35,ADA,RIP,1340.0,3130.0,807966.0,680760.0,46200.0,0.0,2129040.0,237240.0,10241.0,0.0,10241.0,9,436239.77777777775,7,2,no,no,yes
36,ADA,RIV,4108.0,2541.0,310547.0,585240.0,617160.0,219136.0,1498320.0,355440.0,3283.0,687360.0,3283.0,11,389674.36363636365,9,2,no,no,yes
37,ADA,RMD,2768.0,2126.0,4055.0,46440.0,162720.0,7936.0,148560.0,6000.0,158.0,105480.0,158.0,11,44218.27272727273,9,2,no,no,yes
38,ADA,RMF,1107.0,950.0,157469.0,68760.0,0.0,0.0,584160.0,0.0,2413.0,0.0,2413.0,7,116753.14285714286,5,2,no,no,yes
39,ADA,RMG,6599.0,7989.0,1797396.0,692520.0,206280.0,407808.0,2161440.0,522360.0,11453.0,377760.0,11453.0,11,563914.3636363636,9,2,no,no,yes
40,ADA,RMH,737.0,799.0,63191.0,387720.0,0.0,0.0,129600.0,153840.0,19.0,0.0,19.0,8,91990.625,6,2,no,no,yes
41,ADA,SAA,6958.0,5093.0,1146560.0,908040.0,1099440.0,1115648.0,2396880.0,812520.0,6588.0,1514640.0,6588.0,11,819905.0,9,2,no,no,yes
42,ADA,SDQ,34100.0,24270.0,1295584.0,362640.0,0.0,0.0,1711920.0,150720.0,1067.0,0.0,1067.0,8,447671.0,6,2,no,no,yes
43,ADA,SIA,9964.0,10598.0,390634.0,1281960.0,210960.0,754688.0,976560.0,552480.0,7309.0,178680.0,7309.0,11,398285.63636363635,9,2,no,no,yes
44,ADA,SIB,7214.0,6135.0,1531113.0,2574960.0,1221600.0,2109952.0,2594400.0,1065360.0,25968.0,1020720.0,25968.0,11,1107580.9090909092,9,2,no,no,yes
45,ADA,SMB,1305.0,969.0,1240163.0,1730760.0,741120.0,955392.0,2317920.0,579240.0,8072.0,428880.0,8072.0,11,728353.9090909091,9,2,no,no,yes
46,ADA,SMD,1804.0,3128.0,588316.0,387120.0,714360.0,952064.0,1881120.0,410520.0,17633.0,435840.0,17633.0,11,491776.1818181818,9,2,no,no,yes
47,ADA,URA,370.0,233.0,250059.0,141840.0,135840.0,189184.0,496800.0,131160.0,1388.0,30360.0,1388.0,11,125329.27272727272,9,2,no,no,yes
48,ADA,URX,11520.0,14222.0,3898244.0,1664040.0,642480.0,678656.0,8024160.0,746640.0,37960.0,319680.0,37960.0,11,1461414.7272727273,9,2,no,no,yes
49,ADA,URY,4276.0,3314.0,632247.0,501480.0,237360.0,412928.0,794640.0,303960.0,3755.0,396600.0,3755.0,11,299483.1818181818,9,2,no,no,yes
50,ADA,unk,61.0,7256.0,0.0,0.0,0.0,0.0,17280.0,0.0,0.0,0.0,0.0,3,8199.0,1,2,no,no,yes
51,ADA,AFD,0.0,4839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4839.0,0,1,no,no,yes
52,ADA,AVF,0.0,605.0,267631.0,892320.0,0.0,0.0,1439760.0,156360.0,6399.0,0.0,6399.0,7,395639.14285714284,6,1,no,no,yes
53,ADA,L V,0.0,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1495.0,0,1,no,no,yes
54,ADA,PVC,0.0,1634.0,76369.0,116400.0,33480.0,34048.0,9600.0,112920.0,1641.0,10200.0,1641.0,10,39793.3,9,1,no,no,yes
55,ADA,PVQ,0.0,11125.0,442336.0,675840.0,279600.0,159744.0,701280.0,582840.0,1280.0,52080.0,1280.0,10,290740.5,9,1,no,no,yes
56,ADA,RIB,0.0,5015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5015.0,0,1,no,no,yes
57,ADA,RID,0.0,334.0,198021.0,357840.0,64680.0,169216.0,239280.0,352440.0,3811.0,109440.0,3811.0,10,149887.3,9,1,no,no,yes
58,ADA,URB,0.0,455.0,1026938.0,1006920.0,429120.0,637696.0,3806880.0,698400.0,6441.0,219840.0,6441.0,10,783913.1,9,1,no,no,yes
59,ADA,VB1,0.0,744.0,0.0,20640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10692.0,1,1,no,no,yes
60,ADA,AIA,0.0,0.0,770457.0,337320.0,151920.0,125440.0,658320.0,45960.0,6069.0,0.0,6069.0,8,262694.375,8,0,no,no,no
61,ADA,AIM,0.0,0.0,41563.0,49200.0,0.0,10496.0,194880.0,17280.0,258.0,13440.0,258.0,8,40921.875,8,0,no,no,no
62,ADA,ASH,0.0,0.0,5417532.0,4461120.0,1518840.0,2816256.0,8068320.0,2086920.0,55070.0,1944240.0,55070.0,9,2935929.777777778,9,0,no,yes,no
63,ADA,ASK,0.0,0.0,291624.0,299520.0,256800.0,266496.0,659040.0,280560.0,240.0,171840.0,240.0,9,247373.33333333334,9,0,no,yes,no
64,ADA,AUA,0.0,0.0,13516.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,2,13358.0,2,0,no,no,no
65,ADA,AVH,0.0,0.0,793435.0,1168920.0,404640.0,807936.0,1125120.0,571560.0,7752.0,218040.0,7752.0,9,567239.4444444445,9,0,no,yes,no
66,ADA,AVM,0.0,0.0,30412.0,441720.0,0.0,0.0,0.0,0.0,228.0,0.0,228.0,4,118147.0,4,0,no,no,no
67,ADA,BWM,0.0,0.0,5744.0,4680.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,3,3954.6666666666665,3,0,no,no,no
68,ADA,FLP,0.0,0.0,558580.0,1163280.0,165000.0,418048.0,990720.0,216720.0,18968.0,177720.0,18968.0,9,414222.6666666667,9,0,no,yes,no
69,ADA,RIH,0.0,0.0,8448.0,0.0,65040.0,187648.0,82560.0,0.0,0.0,124920.0,0.0,5,93723.2,5,0,no,no,no
70,ADA,RIR,0.0,0.0,41902.0,0.0,38400.0,0.0,0.0,600.0,35.0,30240.0,35.0,6,18535.333333333332,6,0,no,no,no
71,ADA,ASE,0.0,0.0,0.0,13920.0,1200.0,0.0,3840.0,0.0,1884.0,13560.0,1884.0,6,6048.0,6,0,no,no,no
72,ADA,SAB,0.0,0.0,0.0,62160.0,0.0,88576.0,0.0,0.0,0.0,0.0,0.0,2,75368.0,2,0,no,no,no
73,ADA,VA1,0.0,0.0,0.0,2640.0,0.0,0.0,0.0,74160.0,0.0,0.0,0.0,2,38400.0,2,0,no,no,no
74,ADA,VA2,0.0,0.0,0.0,62280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62280.0,1,0,no,no,no
75,ADA,ASJ,0.0,0.0,0.0,0.0,4560.0,0.0,0.0,17400.0,0.0,3960.0,0.0,3,8640.0,3,0,no,no,no
76,ADA,Fra,0.0,0.0,0.0,0.0,52320.0,0.0,0.0,0.0,0.0,38520.0,0.0,2,45420.0,2,0,no,no,no
77,ADA,PLN,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,248.0,0.0,248.0,3,805.3333333333334,3,0,no,no,no
78,ADA,RME,0.0,0.0,0.0,0.0,0.0,0.0,387840.0,0.0,0.0,0.0,0.0,1,387840.0,1,0,no,no,no
79,ADA,VB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9360.0,0.0,0.0,0.0,1,9360.0,1,0,no,no,no
80,ADA,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,398.0,2,398.0,2,0,no,no,no
81,ADA,ASG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0,2,77.0,2,0,no,no,no
82,ADA,ASI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,228.0,2,228.0,2,0,no,no,no
83,ADA,RIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,2,80.0,2,0,no,no,no
84,ADA,VB0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5273.0,0.0,5273.0,2,5273.0,2,0,no,no,no
85,ADE,ADE,3732.0,6166.0,4401408.0,3081960.0,1239720.0,1245440.0,6899040.0,0.0,73991.0,664920.0,73991.0,10,1769036.8,8,2,no,no,yes
86,ADE,ALM,24471.0,10421.0,795463.0,237120.0,0.0,0.0,2333760.0,116400.0,10933.0,0.0,10933.0,8,442437.625,6,2,no,no,yes
87,ADE,AQR,18130.0,13533.0,847502.0,341400.0,0.0,0.0,1055760.0,332160.0,3650.0,0.0,3650.0,8,326973.125,6,2,no,no,yes
88,ADE,AVA,20171.0,36850.0,3121027.0,3072000.0,1144440.0,1499904.0,5905920.0,1592280.0,90298.0,643080.0,90298.0,11,1565115.2727272727,9,2,no,no,yes
89,ADE,AVD,5359.0,0.0,228770.0,658080.0,57480.0,0.0,796800.0,203160.0,4334.0,117120.0,4334.0,9,230604.11111111112,8,1,no,no,yes
90,ADE,AVE,1029.0,0.0,15206.0,214560.0,0.0,0.0,503520.0,241560.0,7116.0,0.0,7116.0,7,141443.85714285713,6,1,no,no,yes
91,ADE,AVK,19202.0,9779.0,453826.0,632760.0,521520.0,657152.0,794160.0,1383960.0,9968.0,309000.0,9968.0,11,436481.36363636365,9,2,no,no,yes
92,ADE,DVA,309.0,1611.0,510258.0,341760.0,22440.0,0.0,1307760.0,89160.0,11826.0,164520.0,11826.0,10,246147.0,8,2,no,no,yes
93,ADE,DVC,18738.0,6752.0,0.0,96600.0,187800.0,455168.0,15120.0,589320.0,426.0,382800.0,426.0,10,175315.0,8,2,no,no,yes
94,ADE,PVC,4233.0,2609.0,673473.0,816960.0,146280.0,192256.0,304800.0,0.0,0.0,169080.0,0.0,8,288711.375,6,2,no,no,yes
95,ADE,PVP,5053.0,596.0,0.0,94080.0,840.0,0.0,4080.0,8160.0,0.0,33480.0,0.0,7,20898.428571428572,5,2,no,no,yes
96,ADE,RIF,16103.0,17849.0,272025.0,186240.0,0.0,0.0,529920.0,5640.0,5733.0,0.0,5733.0,8,129905.375,6,2,no,no,yes
97,ADE,RIG,46905.0,37906.0,3319387.0,2427840.0,483120.0,962560.0,7312320.0,1642800.0,61398.0,482640.0,61398.0,11,1530752.1818181819,9,2,no,no,yes
98,ADE,RIH,245.0,13014.0,3560324.0,454680.0,418560.0,615936.0,8572320.0,73680.0,48848.0,380040.0,48848.0,11,1289681.3636363635,9,2,no,no,yes
99,ADE,RIM,367.0,141.0,129423.0,0.0,0.0,0.0,85200.0,591600.0,0.0,0.0,0.0,5,161346.2,3,2,no,no,yes
100,ADE,RIS,771.0,469.0,0.0,427440.0,840.0,170496.0,55440.0,204960.0,0.0,175920.0,0.0,8,129542.0,6,2,no,no,yes
101,ADE,RMG,2403.0,585.0,235530.0,11640.0,0.0,0.0,154320.0,27480.0,1673.0,0.0,1673.0,8,54413.0,6,2,no,no,yes
102,ADE,SAA,5223.0,47.0,2159644.0,1638720.0,1337760.0,1935616.0,7221360.0,1793520.0,18065.0,1122720.0,18065.0,11,1568249.0909090908,9,2,no,no,yes
103,ADE,SIA,2449.0,2478.0,21964.0,29640.0,0.0,3328.0,1025520.0,3720.0,819.0,0.0,819.0,9,121193.0,7,2,no,no,yes
104,ADE,SIB,872.0,2152.0,812694.0,1007040.0,94440.0,0.0,4038240.0,273240.0,9601.0,0.0,9601.0,9,694208.8888888889,7,2,no,no,yes
105,ADE,SMB,1892.0,2680.0,943133.0,717120.0,75960.0,106752.0,2462880.0,215160.0,6686.0,22440.0,6686.0,11,414671.7272727273,9,2,no,no,yes
106,ADE,URY,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,189.0,0,1,no,no,yes
107,ADE,unk,18868.0,25333.0,0.0,0.0,0.0,0.0,1895280.0,0.0,0.0,0.0,0.0,3,646493.6666666666,1,2,no,no,yes
108,ADE,AVF,0.0,3783.0,203765.0,760800.0,0.0,0.0,1164240.0,534600.0,2510.0,0.0,2510.0,7,381744.0,6,1,no,no,yes
109,ADE,AVJ,0.0,1095.0,122326.0,306000.0,0.0,0.0,371040.0,146520.0,3747.0,3120.0,3747.0,8,119699.375,7,1,no,no,yes
110,ADE,AVL,0.0,2.0,0.0,2400.0,89040.0,2560.0,38640.0,0.0,3384.0,9360.0,3384.0,8,18596.25,7,1,no,no,yes
111,ADE,BDU,0.0,2559.0,319334.0,214320.0,51360.0,104704.0,982320.0,86400.0,17573.0,0.0,17573.0,9,199571.44444444444,8,1,no,no,yes
112,ADE,L V,0.0,2748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2748.0,0,1,no,no,yes
113,ADE,PVN,0.0,3730.0,0.0,0.0,0.0,0.0,288240.0,0.0,4267.0,0.0,4267.0,4,75126.0,3,1,no,no,yes
114,ADE,PVT,0.0,6428.0,444026.0,120.0,22680.0,315904.0,628080.0,115200.0,0.0,156240.0,0.0,8,211084.75,7,1,no,no,yes
115,ADE,RIC,0.0,486.0,0.0,0.0,0.0,0.0,0.0,57720.0,0.0,0.0,0.0,2,29103.0,1,1,no,no,yes
116,ADE,RIV,0.0,96.0,732272.0,1048560.0,7320.0,0.0,3180480.0,663000.0,25106.0,0.0,25106.0,8,710242.5,7,1,no,no,yes
117,ADE,SAB,0.0,1689.0,0.0,0.0,162600.0,68864.0,0.0,0.0,0.0,45600.0,0.0,4,69688.25,3,1,no,no,yes
118,ADE,VB1,0.0,2785.0,0.0,1409280.0,0.0,0.0,0.0,142440.0,0.0,0.0,0.0,3,518168.3333333333,2,1,no,no,yes
119,ADE,VB2,0.0,1727.0,0.0,38040.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,3,19175.666666666668,2,1,no,no,yes
120,ADE,AIN,0.0,0.0,411923.0,177360.0,0.0,0.0,2519760.0,153480.0,15130.0,0.0,15130.0,6,548797.1666666666,6,0,no,no,no
121,ADE,ALA,0.0,0.0,50012.0,7560.0,0.0,0.0,13440.0,26760.0,5722.0,0.0,5722.0,6,18202.666666666668,6,0,no,no,no
122,ADE,ALN,0.0,0.0,1466572.0,980400.0,0.0,0.0,2970240.0,354120.0,25387.0,0.0,25387.0,6,970351.0,6,0,no,no,no
123,ADE,ASJ,0.0,0.0,3717.0,76440.0,0.0,0.0,235200.0,0.0,1689.0,0.0,1689.0,5,63747.0,5,0,no,no,no
124,ADE,ASK,0.0,0.0,4730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4730.0,1,0,no,no,no
125,ADE,AVH,0.0,0.0,418682.0,270240.0,0.0,0.0,408720.0,208800.0,2667.0,0.0,2667.0,6,218629.33333333334,6,0,no,no,no
