source,target,weight
AVER,RIMR,1.0
AVER,AIZR,1.0
AVER,OLLL,1.0
AVER,RMGR,1.0
AVER,URXR,1.0
AVER,CEPDL,1.0
RMFL,SMDVL,1.0
RMFL,RIBR,1.0
RMFL,RMDR,13.0
RMFL,RMHL,2.0
RMFL,AVKR,14.0
RMFL,BAGL,1.0
RMFL,DVC,1.0
RMFL,RIS,1.0
RMFL,RIMR,2.0
RMFL,PVT,3.0
RMFL,SAAVR,1.0
RMFL,AVKL,9.0
AVHL,RIFR,1.0
AVHL,ADFR,5.0
AVHL,BDUR,1.0
AVHL,AVDL,1.0
AVHL,AVBL,1.0
AVHL,ASHR,1.0
AVHL,AVJL,3.0
AVHL,RIMR,1.0
AVHL,SMBDR,4.0
AVHL,AVAR,1.0
AVHL,RIR,2.0
AVHL,PVPR,2.0
AVHL,AWBR,3.0
AVHL,SMBVR,4.0
AVHL,AVBR,1.0
IL2R,AVER,2.0
IL2R,RIH,19.0
IL2R,OLLR,5.0
IL2R,RMGR,1.0
IL2R,URXR,1.0
IL2R,OLQVR,26.0
IL2R,RMEL,5.0
IL2R,ADER,5.0
IL2R,RMEV,2.0
IL2R,URADR,2.0
IL2R,URBR,3.0
IL2R,URAVR,1.0
IL2R,OLQDR,10.0
IL2R,RMDL,3.0
IL2R,IL1R,2.0
OLLR,RMED,1.0
OLLR,SMDVL,11.0
OLLR,RIBR,21.0
OLLR,IL1DR,1.0
OLLR,RMER,3.0
OLLR,IL2R,1.0
OLLR,RMDR,2.0
OLLR,OLLR,4.0
OLLR,SMDVR,4.0
OLLR,ADER,2.0
OLLR,RIS,2.0
OLLR,CEPDR,7.0
OLLR,AVEL,39.0
OLLR,RMDDR,26.0
OLLR,RMDVR,6.0
OLLR,CEPVR,16.0
OLLR,IL1VR,2.0
OLLR,OLQDR,1.0
OLLR,RMDL,9.0
OLLR,SMDDR,1.0
OLLR,SMDDL,3.0
ASIR,ADLR,1.0
ASIR,AIBR,4.0
ASIR,AIAL,1.0
ASIR,AWCL,2.0
ASIR,AWCR,5.0
ASIR,AIAR,4.0
ASIR,ASHR,3.0
ASIR,AWAR,1.0
ASIR,ASGR,3.0
ASIR,CEPVR,1.0
ASIR,ASER,3.0
ASIR,ASEL,2.0
RIMR,AVBR,19.0
RIMR,SMDVL,2.0
RIMR,AVAL,9.0
RIMR,SAAVL,11.0
RIMR,RIML,4.0
RIMR,AIBL,15.0
RIMR,RMDR,12.0
RIMR,RMFR,7.0
RIMR,RMFL,1.0
RIMR,SMDVR,3.0
RIMR,ADAR,15.0
RIMR,RIS,2.0
RIMR,RIBR,4.0
RIMR,VB01,2.0
RIMR,RMDL,15.0
RIMR,AVBL,14.0
RIMR,AVJL,6.0
RIMR,SAAVR,8.0
RIMR,SMDDR,14.0
RIMR,AVKL,1.0
RIMR,SMDDL,9.0
SIADR,IL1VR,1.0
SIADR,AVAL,1.0
SIADR,SMBDR,1.0
SIADR,ALML,1.0
SIADR,CEPDL,1.0
URXR,AVER,2.0
URXR,CEPDR,1.0
URXR,RIFR,3.0
URXR,AVAR,2.0
URXR,RMDR,8.0
URXR,OLQVR,2.0
URXR,RMDDL,2.0
URXR,RMGR,6.0
URXR,SIAVR,4.0
URXR,URBR,8.0
URXR,AVBL,2.0
URXR,AWBR,2.0
URXR,AVBR,3.0
URXR,AIMR,3.0
URXR,ADAR,1.0
URXR,AUAR,21.0
URXR,RICR,3.0
URXR,SIADL,2.0
URXR,RIR,4.0
URXR,RIGR,7.0
URXR,RIPR,10.0
URXR,RIAR,20.0
URXR,ADLR,3.0
URXR,ALMR,1.0
URXR,ADFR,4.0
URXR,SMBVR,7.0
AWBR,AIYR,1.0
AWBR,RIFR,1.0
AWBR,HSNL,2.0
AWBR,ADFR,7.0
AWBR,OLQVR,1.0
AWBR,ASHR,2.0
AWBR,AIZR,8.0
AWBR,RIAR,3.0
AWBR,ASGR,1.0
AWBR,RIR,7.0
AWBR,ASER,1.0
AWBR,URYVR,1.0
AWBR,AVBR,2.0
AWBR,HSNR,2.0
AWBR,AIMR,1.0
AVBR,AVJL,2.0
AVBR,AIBR,1.0
