Connector_ID,Source_ID,Target_ID,Source,Target,Connector_title,Width,Height,lid,Con_X,Con_Y,Con_Radius,z,Scorer,Confirmed,Confidence,Synapse_Type,Sections
35716,35641,35363,AVBL,AVAL,c-1 2(c),30.0,18.0,21617,29.0,1.0,1.25,67820.0,,,2,c,1
35718,35641,35355,AVBL,AVEL,c-8 3(c),30.0,14.0,21586,1.0,34.0,1.25,67640.0,,,3,c,8
35720,35641,33945,AVBL,DB2? v.part R VNC->L com 5,e-13 3(c),24.0,35.0,21549,1.0,64.0,1.25,67460.0,,,3,e,13
35722,35641,33945,AVBL,DB2? v.part R VNC->L com 5,c-1 2(c),17.0,65.0,21533,1.0,1.0,1.25,67360.0,,,2,c,1
35726,35641,34742,AVBL,post R VNC crossing + ending,e-12 3(c),42.0,21.0,21378,1.0,21.0,1.25,66480.0,,,3,e,12
35733,35641,34012,AVBL,R deirid commissure 4th,e-15 2(c),17.0,22.0,19882,42.0,24.0,1.25,58160.0,,,2,e,15
35735,34422,35295,UNK_rvg_roi,AVBL_roi,c-2 3(c),43.0,25.0,17482,48.0,1.0,1.25,55380.0,,,3,c,2
35737,35349,33738,AWBR_roi,AIBR_roi,c-3 3(S),56.0,79.0,13920,60.0,53.0,1.25,49820.0,S,,3,c,3
35737,35349,35565,AWBR_roi,AIAR_roi,c-3 3(S),56.0,79.0,13920,60.0,53.0,1.25,49820.0,S,,3,c,3
35739,35677,34571,RMER_roi,areatree,c-2 2(S),61.0,63.0,17201,1.0,1.0,1.25,53040.0,S,,2,c,2
35739,35677,34544,RMER_roi,areatree,c-2 2(S),61.0,63.0,17201,1.0,1.0,1.25,53040.0,S,,2,c,2
35741,35295,35445,AVBL_roi,RIPR_roi,e-13 3(c),55.0,14.0,14313,1.0,1.0,1.25,52420.0,,,3,e,13
35745,35295,35445,AVBL_roi,RIPR_roi,e-19 4(c),32.0,29.0,14242,37.0,1.0,1.25,51940.0,,,4,e,19
35747,35295,35577,AVBL_roi,AVAL_roi,c-2 2(c),90.0,84.0,14212,1.0,1.0,1.25,51740.0,,,2,c,2
35747,35295,33976,AVBL_roi,RIMR_roi,c-2 2(c),90.0,84.0,14212,1.0,1.0,1.25,51740.0,,,2,c,2
35747,35295,33757,AVBL_roi,RIR_roi,c-2 2(c),90.0,84.0,14212,1.0,1.0,1.25,51740.0,,,2,c,2
35749,35295,34378,AVBL_roi,PVPR_roi,e-3 2(c),54.0,12.0,21140,1.0,16.0,1.25,65240.0,,,2,e,3
35751,35369,33936,AVAR,VB2,e-17 4(c),36.0,17.0,21150,1.0,32.0,1.25,65280.0,,,4,e,17
35753,35167,35369,AVBR? (RLG),AVAR,e-10 3(c),24.0,33.0,21110,24.0,44.0,1.25,65080.0,,,3,e,10
35755,35161,35369,AVER?,AVAR,e-9 3(c),25.0,45.0,21122,1.0,10.0,1.25,65160.0,,,3,e,9
35757,35367,35369,RIGL,AVAR,e-11 3(c),55.0,11.0,20943,1.0,1.0,1.25,64180.0,,,3,e,11
35759,35369,35161,AVAR,AVER?,e-10 2(c),41.0,9.0,20366,1.0,1.0,1.25,60900.0,,,2,e,10
35761,35369,35379,AVAR,AVFR,c-2 2(c),30.0,21.0,20269,1.0,4.0,1.25,60360.0,,,2,c,2
35763,35369,35161,AVAR,AVER?,c-1 1(c),21.0,40.0,17664,26.0,1.0,1.25,56900.0,,,1,c,1
35763,35369,35379,AVAR,AVFR,c-1 1(c),21.0,40.0,17664,26.0,1.0,1.25,56900.0,,,1,c,1
35765,35579,35381,AVAR_roi,ADAL_roi,c-5 3(c),27.0,30.0,17521,1.0,91.0,1.25,55700.0,,,3,c,5
35769,35579,33849,AVAR_roi,RMFL,e-29 4(c),11.0,92.0,17526,1.0,15.0,1.25,55760.0,,,4,e,29
35771,35579,35381,AVAR_roi,ADAL_roi,c-4 3(c),51.0,36.0,17479,1.0,38.0,1.25,55360.0,,,3,c,4
35771,35579,35293,AVAR_roi,RICL_roi,c-4 3(c),51.0,36.0,17479,1.0,38.0,1.25,55360.0,,,3,c,4
35771,35579,34304,AVAR_roi,SMDVR_roi,c-4 3(c),51.0,36.0,17479,1.0,38.0,1.25,55360.0,,,3,c,4
35773,35377,35579,ADEL_roi,AVAR_roi,c-7 4(c),66.0,66.0,17400,1.0,39.0,1.25,54720.0,,,4,c,7
35773,35377,34413,ADEL_roi,RIGL_roi,c-7 4(c),66.0,66.0,17400,1.0,39.0,1.25,54720.0,,,4,c,7
35775,34268,35579,DVC_roi,AVAR_roi,c-1 2(c),71.0,40.0,17339,9.0,70.0,1.25,54220.0,,,2,c,1
35777,34268,33738,DVC_roi,AIBR_roi,c-3 3(c),69.0,71.0,17271,59.0,31.0,1.25,53660.0,,,3,c,3
35777,34268,35579,DVC_roi,AVAR_roi,c-3 3(c),69.0,71.0,17271,59.0,31.0,1.25,53660.0,,,3,c,3
35779,35683,35597,SAAVR_roi,SMDDL_roi,c-6 2(c),60.0,63.0,17221,55.0,1.0,1.25,53240.0,,,2,c,6
35779,35683,35579,SAAVR_roi,AVAR_roi,c-6 2(c),60.0,63.0,17221,55.0,1.0,1.25,53240.0,,,2,c,6
35781,35579,35683,AVAR_roi,SAAVR_roi,c-7 2(c),56.0,17.0,20814,35.0,8.0,1.25,63460.0,,,2,c,7
35783,35267,35161,AVDR,AVER?,e-13 3(c),36.0,9.0,20694,1.0,53.0,1.25,62780.0,,,3,e,13
35785,35267,35161,AVDR,AVER?,c-1 1(c),3.0,54.0,20265,33.0,1.0,1.25,60320.0,,,1,c,1
35787,35267,33912,AVDR,RIFL? #33912,c-2 3(c),34.0,10.0,19970,1.0,39.0,1.25,58720.0,,,3,c,2
35789,34024,34315,PVNL_roi,AVDR_roi,e-9 3(c),8.0,40.0,17524,1.0,1.0,1.25,55740.0,,,3,e,9
35791,35347,34315,AVBR_roi,AVDR_roi,e-14 3(c),47.0,17.0,17453,1.0,1.0,1.25,55160.0,,,3,e,14
35793,34315,34437,AVDR_roi,ALML_roi,e-12 3(c),37.0,26.0,17451,29.0,26.0,1.25,55140.0,,,3,e,12
35795,34315,35293,AVDR_roi,RICL_roi,e-11 3(c),30.0,27.0,17325,59.0,1.0,1.25,54120.0,,,3,e,11
35797,34437,34315,ALML_roi,AVDR_roi,c-4 1(c),60.0,48.0,17298,73.0,47.0,1.25,53880.0,,,1,c,4
35797,34437,35409,ALML_roi,CEPVL_roi,c-4 1(c),60.0,48.0,17298,73.0,47.0,1.25,53880.0,,,1,c,4
35799,35301,35631,AWBL_roi,AVJR_roi,c-4 4(c),74.0,152.0,17215,52.0,1.0,1.25,53180.0,,,4,c,4
35799,35301,34315,AWBL_roi,AVDR_roi,c-4 4(c),74.0,152.0,17215,52.0,1.0,1.25,53180.0,,,4,c,4
35799,35301,35503,AWBL_roi,URYVL_roi,c-4 4(c),74.0,152.0,17215,52.0,1.0,1.25,53180.0,,,4,c,4
35803,34315,35449,AVDR_roi,RIPL_roi,e-17 2(c),53.0,33.0,21753,8.0,1.0,1.25,68580.0,,,2,e,17
35805,33936,35615,VB2,AVKL,c-5 2(c),9.0,24.0,21521,1.0,1.0,1.25,67300.0,,,2,c,5
35807,35615,33988,AVKL,BDUR,e-6 2(c),27.0,17.0,20694,1.0,11.0,1.25,62780.0,,,2,e,6
35809,35615,35193,AVKL,unk R VNC 3,e-9 3(c),22.0,12.0,20340,1.0,27.0,1.25,60760.0,,,3,e,9
35811,35615,33936,AVKL,VB2,e-3 2(c),31.0,28.0,17245,1.0,41.0,1.25,53480.0,,,2,e,3
35813,35227,35637,AVKL_roi,AVEL_roi,e-18 4(c),37.0,42.0,17245,1.0,1.0,1.25,53480.0,,,4,e,18
35815,35227,34268,AVKL_roi,DVC_roi,e-19 2(c),31.0,47.0,17239,1.0,1.0,1.25,53420.0,,,2,e,19
35819,33976,35227,RIMR_roi,AVKL_roi,e-16 4(c),36.0,42.0,26001,1.0,25.0,1.25,69240.0,,,4,e,16
35821,35281,35571,AVL,SABVL,c-4 2(c),41.0,33.0,21769,1.0,12.0,1.25,68660.0,,,2,c,4
35821,35281,35167,AVL,AVBR? (RLG),c-4 2(c),41.0,33.0,21769,1.0,12.0,1.25,68660.0,,,2,c,4
35823,35281,33945,AVL,DB2? v.part R VNC->L com 5,e-7 4(c),41.0,13.0,21236,90.0,63.0,1.25,65720.0,,,4,e,7
35825,35281,35351,AVL,SABD?,c-5 5(c),106.0,92.0,21054,1.0,1.0,1.25,64780.0,,,5,c,5
35825,35281,34523,AVL,VA1,c-5 5(c),106.0,92.0,21054,1.0,1.0,1.25,64780.0,,,5,c,5
35825,35281,34398,AVL,RIFR? unknown RVSG,c-5 5(c),106.0,92.0,21054,1.0,1.0,1.25,64780.0,,,5,c,5
35825,35281,35571,AVL,SABVL,c-5 5(c),106.0,92.0,21054,1.0,1.0,1.25,64780.0,,,5,c,5
35827,34247,35281,SABVR,AVL,e-10 3(c),39.0,4.0,20746,1.0,42.0,1.6666666,63060.0,,,3,e,10
35829,35281,34700,AVL,VD1,e-9 2(c),30.0,43.0,19965,30.0,49.0,1.6666666,58680.0,,,2,e,9
35831,33760,34268,AVL_roi,DVC_roi,c-6 1(c),31.0,51.0,19785,34.0,36.0,1.6666666,57460.0,,,1,c,6
35831,33760,34410,AVL_roi,RIGR_roi,c-6 1(c),31.0,51.0,19785,34.0,36.0,1.6666666,57460.0,,,1,c,6
35833,33760,35277,AVL_roi,AQR_roi,c-3 4(c),35.0,37.0,17407,66.0,128.0,1.6666666,54780.0,,,4,c,3
35837,33760,35637,AVL_roi,AVEL_roi,c-3 3(c),81.0,129.0,17227,43.0,1.0,1.6666666,53300.0,,,3,c,3
35837,33760,35577,AVL_roi,AVAL_roi,c-3 3(c),81.0,129.0,17227,43.0,1.0,1.6666666,53300.0,,,3,c,3
35839,35225,33760,RIS_roi,AVL_roi,e-11 c(3),44.0,35.0,26060,1.0,9.0,1.6666666,69720.0,,,c,e,11
35842,34976,35571,HMC,SABVL,e-8 4(c),80.0,10.0,21323,48.0,10.0,1.6666666,66180.0,,,4,e,8
35844,34373,34354,PVPL,RMGL,e-11 4(c),49.0,11.0,21098,53.0,28.0,1.6666666,65020.0,,,4,e,11
35846,35169,34373,SAADL,PVPL,c-1 1(c),54.0,74.0,20694,1.0,1.0,1.6666666,62780.0,,,1,c,1
35846,35169,35665,SAADL,PVQ,c-1 1(c),54.0,74.0,20694,1.0,1.0,1.6666666,62780.0,,,1,c,1
35846,35169,34395,SAADL,AVFL,c-1 1(c),54.0,74.0,20694,1.0,1.0,1.6666666,62780.0,,,1,c,1
