Source,Target,Synapse_Type,count,sum
ADAL_roi,ADEL_roi,c,1,2.0
ADAL_roi,AIBL_roi,c,1,2.0
ADAL_roi,AIBR_roi,c,1,2.0
ADAL_roi,AVAL_roi,c,1,3.0
ADAL_roi,AVBR_roi,c,1,3.0
ADAL_roi,AVDR_roi,c,2,10.0
ADAL_roi,AVEL_roi,c,1,5.0
ADAL_roi,AVER_roi,c,2,8.0
ADAL_roi,AVJR_roi,c,2,9.0
ADAL_roi,AWAR_roi,c,1,2.0
ADAL_roi,L VNC NR crossing over no nuc_roi,c,1,2.0
ADAL_roi,OLQVL_roi,c,1,6.0
ADAL_roi,PVR_roi,c,1,6.0
ADAL_roi,RIAL_roi,c,2,8.0
ADAR_roi,AIBR_roi,c,1,2.0
ADAR_roi,AVAR_roi,c,1,3.0
ADAR_roi,AVBL_roi,c,1,2.0
ADAR_roi,AVEL_roi,c,2,8.0
ADAR_roi,AVER_roi,c,3,8.0
ADAR_roi,AVJL_roi,c,1,3.0
ADAR_roi,AWBR_roi,c,1,2.0
ADAR_roi,DVA_roi,c,1,2.0
ADAR_roi,RIAR_roi,c,1,6.0
ADAR_roi,RIMR_roi,c,2,4.0
ADAR_roi,RMFL_roi,c,1,3.0
ADAR_roi,SIBDL_roi,c,1,3.0
ADEL_roi,AVAR_roi,c,2,10.0
ADEL_roi,RIGL_roi,c,5,24.0
ADEL_roi,SIADL_roi,c,2,11.0
ADER_roi,AQR_roi,c,1,4.0
ADER_roi,AVAL_roi,c,1,7.0
ADER_roi,AVAL_roi,e,1,8.0
ADER_roi,RIGR_roi,c,2,11.0
ADFL_roi,AFDL_roi,c,3,9.0
ADFL_roi,AIZL_roi,c,3,8.0
ADFL_roi,AUAL_roi,c,1,3.0
ADFL_roi,RIAL_roi,c,1,3.0
ADFL_roi,RIPL_roi,c,1,3.0
ADFL_roi,RIR_roi,c,3,5.0
ADFR,CEPshDR?,c,1,3.0
ADFR_roi,AIAR_roi,c,1,3.0
