source,target,weight
ADAL,AVAL,2
ADAL,AVAR,1
ADAL,AVBL,16
ADAL,AVBR,6
ADAL,AVDR,1
ADAL,AVJL,1
ADAL,AVJR,7
ADAL,OLQVL,1
ADAL,RIML,6
ADAL,RIPL,6
ADAL,RIPR,2
ADAL,RMFL,2
ADAL,SAADL,1
ADAL,SMDVR,1
ADAR,AVAL,1
ADAR,AVAR,1
ADAR,AVBL,5
ADAR,AVBR,18
ADAR,AVER,1
ADAR,AVJL,10
ADAR,RICR,1
ADAR,RIMR,5
ADAR,RIPR,3
ADAR,RMFR,2
ADAR,SMDVL,1
ADEL,ADAL,1
ADEL,ADEL,1
ADEL,ADER,4
ADEL,ALNL,1
ADEL,AVAL,1
ADEL,AVAR,3
ADEL,AVKR,1
ADEL,CEPDL,2
ADEL,CEPshDR,1
ADEL,CEPVL,1
ADEL,IL1L,1
ADEL,IL2L,1
ADEL,PVT,1
ADEL,RIFL,1
ADEL,RIGL,6
ADEL,RIGR,12
ADEL,RIVL,1
ADEL,RIVR,2
ADEL,RMDDR,2
ADEL,RMDL,3
ADEL,RMFR,4
ADEL,RMHR,2
ADEL,SAADR,2
ADEL,SDQL,1
ADEL,SMBDR,2
ADEL,SMDDR,1
ADEL,SMDVL,1
ADER,ADAR,1
ADER,ADEL,3
ADER,AINR,2
ADER,ALMR,1
ADER,ALNR,1
ADER,AVAL,4
ADER,AVAR,1
ADER,AVDR,2
ADER,AVER,1
ADER,AVKR,3
ADER,CEPDR,1
ADER,CEPshVR,5
ADER,CEPVR,1
ADER,FLPL,1
ADER,IL1R,4
ADER,IL2R,3
ADER,OLLR,2
ADER,PVR,2
ADER,PVT,1
ADER,RIGL,10
ADER,RIGR,6
ADER,RIVR,3
ADER,RMDL,1
ADER,RMDR,2
ADER,RMFL,1
ADER,SAADL,1
ADER,SAAVL,1
ADER,SIADL,1
ADER,SMBVR,1
ADER,URBR,1
ADFL,AIAL,2
ADFL,AIBL,1
ADFL,AIBR,1
ADFL,AIZL,18
ADFL,ASHL,1
ADFL,AVHR,1
ADFL,AWBL,1
ADFL,BAGR,1
ADFL,OLQVL,1
ADFL,RIAL,17
ADFL,RIGL,3
ADFL,RIR,2
ADFL,SMBVL,5
ADFL,URXL,2
ADFR,AIZR,13
ADFR,AUAR,3
ADFR,AWBR,1
ADFR,OLQVR,1
ADFR,RIAR,12
ADFR,RIGR,4
ADFR,RIH,1
ADFR,RIR,5
ADFR,SIBVR,1
ADFR,SMBDR,1
ADFR,SMBVR,3
ADLL,ADAL,2
ADLL,AIAL,8
ADLL,AIBL,18
ADLL,ASEL,1
ADLL,ASGL,1
ADLL,ASHL,9
ADLL,ASKL,5
ADLL,AVAL,16
ADLL,AVBL,1
ADLL,AVDL,1
ADLL,AVDR,15
ADLL,AVEL,1
ADLL,AVHR,1
ADLL,AVJL,1
ADLL,AVJR,3
ADLL,AWAL,1
ADLL,AWBL,1
ADLL,AWCL,2
ADLL,AWCR,1
ADLL,PVCL,1
ADLL,SMBVL,9
ADLR,AIAR,13
ADLR,AIBR,12
ADLR,ASER,2
ADLR,ASHR,3
ADLR,AVAL,3
ADLR,AVAR,11
ADLR,AVDL,9
ADLR,AVDR,1
ADLR,AVJR,1
ADLR,AWAR,1
ADLR,AWBR,1
ADLR,AWCR,10
ADLR,OLQVR,2
ADLR,PVCR,1
ADLR,SMBVR,1
ADLR,URYVR,1
AFDL,AINR,1
AFDL,AIYL,10
AFDL,AIZL,1
AFDL,ASER,1
AFDL,AWBL,1
AFDL,BAGR,1
AFDR,AIYR,10
AFDR,BAGL,2
AIAL,ADAL,3
AIAL,ADLL,4
AIAL,AIBL,16
AIAL,ASER,1
AIAL,ASGL,1
AIAL,ASKL,2
AIAL,AWCL,1
AIAL,AWCR,7
AIAL,RIFL,1
AIAR,ADAR,2
AIAR,ADLR,3
AIAR,AIBR,18
AIAR,ASGR,2
AIAR,ASIL,1
AIAR,ASKR,1
AIAR,AWCL,1
AIAR,AWCR,12
AIAR,PVQR,1
AIAR,RIFR,2
AIBL,ADLL,1
AIBL,AIAL,1
AIBL,AIBR,2
AIBL,AIYL,1
AIBL,AUAL,1
AIBL,AUAR,1
AIBL,AVAL,1
