,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
0,ADA,ADA,7320.0,1301.0,93360.0,3,33993.666666666664,1,2,no,no,yes
1,ADA,ADE,8884.0,5735.0,3714000.0,3,1242873.0,1,2,no,no,yes
2,ADA,ADF,1827.0,170.0,987600.0,3,329865.6666666667,1,2,no,no,yes
3,ADA,ADL,6131.0,5464.0,2946000.0,3,985865.0,1,2,no,no,yes
4,ADA,AIB,4440.0,4488.0,884160.0,3,297696.0,1,2,no,no,yes
5,ADA,AIZ,11989.0,5754.0,14160.0,3,10634.333333333334,1,2,no,no,yes
6,ADA,ALM,1978.0,4195.0,2490240.0,3,832137.6666666666,1,2,no,no,yes
7,ADA,ALN,1964.0,0.0,6000.0,2,3982.0,1,1,no,no,yes
8,ADA,AQR,157.0,1449.0,1593120.0,3,531575.3333333334,1,2,no,no,yes
9,ADA,AVA,28942.0,19820.0,9567360.0,3,3205374.0,1,2,no,no,yes
10,ADA,AVB,18117.0,12414.0,12387120.0,3,4139217.0,1,2,no,no,yes
11,ADA,AVD,15581.0,7836.0,2606400.0,3,876605.6666666666,1,2,no,no,yes
12,ADA,AVE,14901.0,19650.0,518640.0,3,184397.0,1,2,no,no,yes
13,ADA,AVJ,17129.0,12743.0,2580240.0,3,870037.3333333334,1,2,no,no,yes
14,ADA,AVK,25044.0,11274.0,45600.0,3,27306.0,1,2,no,no,yes
15,ADA,AWA,232.0,3806.0,328080.0,3,110706.0,1,2,no,no,yes
16,ADA,AWB,5583.0,18728.0,441120.0,3,155143.66666666666,1,2,no,no,yes
17,ADA,BDU,4481.0,23533.0,449040.0,3,159018.0,1,2,no,no,yes
18,ADA,CEP,460.0,292.0,189120.0,3,63290.666666666664,1,2,no,no,yes
19,ADA,DVA,25593.0,18675.0,2680080.0,3,908116.0,1,2,no,no,yes
20,ADA,DVC,449.0,1974.0,960.0,3,1127.6666666666667,1,2,no,no,yes
21,ADA,HSN,10780.0,0.0,796080.0,2,403430.0,1,1,no,no,yes
22,ADA,IL1,2027.0,2095.0,307680.0,3,103934.0,1,2,no,no,yes
23,ADA,IL2,7520.0,8497.0,414960.0,3,143659.0,1,2,no,no,yes
24,ADA,OLL,1957.0,1824.0,0.0,2,1890.5,0,2,yes,no,yes
25,ADA,OLQ,3627.0,1313.0,878400.0,3,294446.6666666667,1,2,no,no,yes
26,ADA,PVN,2025.0,14146.0,0.0,2,8085.5,0,2,yes,no,yes
27,ADA,PVP,7613.0,11092.0,828240.0,3,282315.0,1,2,no,no,yes
28,ADA,PVR,31522.0,10498.0,685680.0,3,242566.66666666666,1,2,no,no,yes
29,ADA,PVT,4783.0,1387.0,7920.0,3,4696.666666666667,1,2,no,no,yes
30,ADA,RIA,4567.0,5059.0,348720.0,3,119448.66666666667,1,2,no,no,yes
31,ADA,RIC,32768.0,19628.0,6607680.0,3,2220025.3333333335,1,2,no,no,yes
32,ADA,RIF,3958.0,2249.0,791280.0,3,265829.0,1,2,no,no,yes
33,ADA,RIG,4314.0,0.0,0.0,1,4314.0,0,1,no,no,yes
34,ADA,RIM,17217.0,11866.0,12327360.0,3,4118814.3333333335,1,2,no,no,yes
35,ADA,RIP,1340.0,3130.0,2129040.0,3,711170.0,1,2,no,no,yes
36,ADA,RIV,4108.0,2541.0,1498320.0,3,501656.3333333333,1,2,no,no,yes
37,ADA,RMD,2768.0,2126.0,148560.0,3,51151.333333333336,1,2,no,no,yes
38,ADA,RMF,1107.0,950.0,584160.0,3,195405.66666666666,1,2,no,no,yes
39,ADA,RMG,6599.0,7989.0,2161440.0,3,725342.6666666666,1,2,no,no,yes
40,ADA,RMH,737.0,799.0,129600.0,3,43712.0,1,2,no,no,yes
41,ADA,SAA,6958.0,5093.0,2396880.0,3,802977.0,1,2,no,no,yes
42,ADA,SDQ,34100.0,24270.0,1711920.0,3,590096.6666666666,1,2,no,no,yes
43,ADA,SIA,9964.0,10598.0,976560.0,3,332374.0,1,2,no,no,yes
44,ADA,SIB,7214.0,6135.0,2594400.0,3,869249.6666666666,1,2,no,no,yes
45,ADA,SMB,1305.0,969.0,2317920.0,3,773398.0,1,2,no,no,yes
46,ADA,SMD,1804.0,3128.0,1881120.0,3,628684.0,1,2,no,no,yes
47,ADA,URA,370.0,233.0,496800.0,3,165801.0,1,2,no,no,yes
48,ADA,URX,11520.0,14222.0,8024160.0,3,2683300.6666666665,1,2,no,no,yes
49,ADA,URY,4276.0,3314.0,794640.0,3,267410.0,1,2,no,no,yes
50,ADA,unk,61.0,7256.0,17280.0,3,8199.0,1,2,no,no,yes
51,ADA,AFD,0.0,4839.0,0.0,1,4839.0,0,1,no,no,yes
52,ADA,AVF,0.0,605.0,1439760.0,2,720182.5,1,1,no,no,yes
53,ADA,L V,0.0,1495.0,0.0,1,1495.0,0,1,no,no,yes
54,ADA,PVC,0.0,1634.0,9600.0,2,5617.0,1,1,no,no,yes
55,ADA,PVQ,0.0,11125.0,701280.0,2,356202.5,1,1,no,no,yes
56,ADA,RIB,0.0,5015.0,0.0,1,5015.0,0,1,no,no,yes
57,ADA,RID,0.0,334.0,239280.0,2,119807.0,1,1,no,no,yes
58,ADA,URB,0.0,455.0,3806880.0,2,1903667.5,1,1,no,no,yes
59,ADA,VB1,0.0,744.0,0.0,1,744.0,0,1,no,no,yes
60,ADA,AIA,0.0,0.0,658320.0,1,658320.0,1,0,no,yes,no
61,ADA,AIM,0.0,0.0,194880.0,1,194880.0,1,0,no,yes,no
62,ADA,ASE,0.0,0.0,3840.0,1,3840.0,1,0,no,yes,no
63,ADA,ASH,0.0,0.0,8068320.0,1,8068320.0,1,0,no,yes,no
64,ADA,ASK,0.0,0.0,659040.0,1,659040.0,1,0,no,yes,no
65,ADA,AVH,0.0,0.0,1125120.0,1,1125120.0,1,0,no,yes,no
66,ADA,FLP,0.0,0.0,990720.0,1,990720.0,1,0,no,yes,no
67,ADA,PLN,0.0,0.0,1920.0,1,1920.0,1,0,no,yes,no
68,ADA,RIH,0.0,0.0,82560.0,1,82560.0,1,0,no,yes,no
69,ADA,RME,0.0,0.0,387840.0,1,387840.0,1,0,no,yes,no
70,ADE,ADE,3732.0,6166.0,6899040.0,3,2302979.3333333335,1,2,no,no,yes
71,ADE,ALM,24471.0,10421.0,2333760.0,3,789550.6666666666,1,2,no,no,yes
72,ADE,AQR,18130.0,13533.0,1055760.0,3,362474.3333333333,1,2,no,no,yes
73,ADE,AVA,20171.0,36850.0,5905920.0,3,1987647.0,1,2,no,no,yes
74,ADE,AVD,5359.0,0.0,796800.0,2,401079.5,1,1,no,no,yes
75,ADE,AVE,1029.0,0.0,503520.0,2,252274.5,1,1,no,no,yes
76,ADE,AVK,19202.0,9779.0,794160.0,3,274380.3333333333,1,2,no,no,yes
77,ADE,DVA,309.0,1611.0,1307760.0,3,436560.0,1,2,no,no,yes
78,ADE,DVC,18738.0,6752.0,15120.0,3,13536.666666666666,1,2,no,no,yes
79,ADE,PVC,4233.0,2609.0,304800.0,3,103880.66666666667,1,2,no,no,yes
80,ADE,PVP,5053.0,596.0,4080.0,3,3243.0,1,2,no,no,yes
81,ADE,RIF,16103.0,17849.0,529920.0,3,187957.33333333334,1,2,no,no,yes
82,ADE,RIG,46905.0,37906.0,7312320.0,3,2465710.3333333335,1,2,no,no,yes
83,ADE,RIH,245.0,13014.0,8572320.0,3,2861859.6666666665,1,2,no,no,yes
84,ADE,RIM,367.0,141.0,85200.0,3,28569.333333333332,1,2,no,no,yes
85,ADE,RIS,771.0,469.0,55440.0,3,18893.333333333332,1,2,no,no,yes
86,ADE,RMG,2403.0,585.0,154320.0,3,52436.0,1,2,no,no,yes
87,ADE,SAA,5223.0,47.0,7221360.0,3,2408876.6666666665,1,2,no,no,yes
88,ADE,SIA,2449.0,2478.0,1025520.0,3,343482.3333333333,1,2,no,no,yes
89,ADE,SIB,872.0,2152.0,4038240.0,3,1347088.0,1,2,no,no,yes
90,ADE,SMB,1892.0,2680.0,2462880.0,3,822484.0,1,2,no,no,yes
91,ADE,URY,189.0,0.0,0.0,1,189.0,0,1,no,no,yes
92,ADE,unk,18868.0,25333.0,1895280.0,3,646493.6666666666,1,2,no,no,yes
93,ADE,AVF,0.0,3783.0,1164240.0,2,584011.5,1,1,no,no,yes
94,ADE,AVJ,0.0,1095.0,371040.0,2,186067.5,1,1,no,no,yes
95,ADE,AVL,0.0,2.0,38640.0,2,19321.0,1,1,no,no,yes
96,ADE,BDU,0.0,2559.0,982320.0,2,492439.5,1,1,no,no,yes
97,ADE,L V,0.0,2748.0,0.0,1,2748.0,0,1,no,no,yes
98,ADE,PVN,0.0,3730.0,288240.0,2,145985.0,1,1,no,no,yes
99,ADE,PVT,0.0,6428.0,628080.0,2,317254.0,1,1,no,no,yes
100,ADE,RIC,0.0,486.0,0.0,1,486.0,0,1,no,no,yes
101,ADE,RIV,0.0,96.0,3180480.0,2,1590288.0,1,1,no,no,yes
102,ADE,SAB,0.0,1689.0,0.0,1,1689.0,0,1,no,no,yes
103,ADE,VB1,0.0,2785.0,0.0,1,2785.0,0,1,no,no,yes
104,ADE,VB2,0.0,1727.0,0.0,1,1727.0,0,1,no,no,yes
105,ADE,AIB,0.0,0.0,18480.0,1,18480.0,1,0,no,yes,no
106,ADE,AIN,0.0,0.0,2519760.0,1,2519760.0,1,0,no,yes,no
107,ADE,AIY,0.0,0.0,66240.0,1,66240.0,1,0,no,yes,no
108,ADE,AIZ,0.0,0.0,135360.0,1,135360.0,1,0,no,yes,no
109,ADE,ALA,0.0,0.0,13440.0,1,13440.0,1,0,no,yes,no
110,ADE,ALN,0.0,0.0,2970240.0,1,2970240.0,1,0,no,yes,no
111,ADE,ASJ,0.0,0.0,235200.0,1,235200.0,1,0,no,yes,no
112,ADE,AVH,0.0,0.0,408720.0,1,408720.0,1,0,no,yes,no
113,ADE,AVM,0.0,0.0,252000.0,1,252000.0,1,0,no,yes,no
114,ADE,BWM,0.0,0.0,152880.0,1,152880.0,1,0,no,yes,no
115,ADE,CEP,0.0,0.0,1157040.0,1,1157040.0,1,0,no,yes,no
116,ADE,FLP,0.0,0.0,3415200.0,1,3415200.0,1,0,no,yes,no
117,ADE,HSN,0.0,0.0,577440.0,1,577440.0,1,0,no,yes,no
118,ADE,IL1,0.0,0.0,3818160.0,1,3818160.0,1,0,no,yes,no
119,ADE,IL2,0.0,0.0,1933680.0,1,1933680.0,1,0,no,yes,no
120,ADE,OLL,0.0,0.0,1267440.0,1,1267440.0,1,0,no,yes,no
121,ADE,PLN,0.0,0.0,318480.0,1,318480.0,1,0,no,yes,no
122,ADE,PVR,0.0,0.0,1275600.0,1,1275600.0,1,0,no,yes,no
123,ADE,RIA,0.0,0.0,765120.0,1,765120.0,1,0,no,yes,no
124,ADE,RMD,0.0,0.0,2748240.0,1,2748240.0,1,0,no,yes,no
125,ADE,RME,0.0,0.0,966960.0,1,966960.0,1,0,no,yes,no
126,ADE,RMF,0.0,0.0,3747360.0,1,3747360.0,1,0,no,yes,no
127,ADE,RMH,0.0,0.0,2751600.0,1,2751600.0,1,0,no,yes,no
128,ADE,SDQ,0.0,0.0,1568160.0,1,1568160.0,1,0,no,yes,no
129,ADE,SMD,0.0,0.0,6123600.0,1,6123600.0,1,0,no,yes,no
130,ADE,URB,0.0,0.0,3642720.0,1,3642720.0,1,0,no,yes,no
131,ADE,URX,0.0,0.0,33360.0,1,33360.0,1,0,no,yes,no
132,ADF,ADF,455.0,901.0,553200.0,3,184852.0,1,2,no,no,yes
133,ADF,ADL,3195.0,9476.0,1404720.0,3,472463.6666666667,1,2,no,no,yes
134,ADF,AFD,2003.0,12192.0,2209200.0,3,741131.6666666666,1,2,no,no,yes
135,ADF,AIA,698.0,1654.0,2034720.0,3,679024.0,1,2,no,no,yes
136,ADF,AIB,7090.0,7864.0,657600.0,3,224184.66666666666,1,2,no,no,yes
137,ADF,AIM,657.0,6682.0,980400.0,3,329246.3333333333,1,2,no,no,yes
138,ADF,AIN,4897.0,14733.0,15360.0,3,11663.333333333334,1,2,no,no,yes
139,ADF,AIY,21325.0,18872.0,1492800.0,3,510999.0,1,2,no,no,yes
140,ADF,AIZ,63454.0,63789.0,13841760.0,3,4656334.333333333,1,2,no,no,yes
