,pre,post,cel_jsh_nr_adj.csv' with 84 nodes and 1784 edges_weight,cel_n2u_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size
0,ADA,ADA,801.0,718.0,137400.0,114688.0,176400.0,50280.0,0.0,0.0,93360.0,7,81949.57142857143
1,ADA,ADE,1578.0,32148.0,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,3714000.0,9,933548.2222222222
2,ADA,ADF,3717.0,13532.0,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,987600.0,9,248453.22222222222
3,ADA,ADL,19408.0,25870.0,181200.0,199680.0,463920.0,514560.0,667200.0,1343231.0,2946000.0,9,706785.4444444445
4,ADA,AIB,11054.0,26466.0,215520.0,303360.0,265320.0,240000.0,374520.0,536953.0,884160.0,9,317483.6666666667
5,ADA,AIM,483.0,258.0,13440.0,10496.0,0.0,17280.0,49200.0,41563.0,194880.0,8,40950.0
6,ADA,AIZ,1153.0,1534.0,133440.0,225536.0,0.0,116760.0,310920.0,232151.0,14160.0,8,129456.75
7,ADA,ALM,22909.0,2650.0,468840.0,1058816.0,1104360.0,1026240.0,2082120.0,2487428.0,2490240.0,9,1193733.6666666667
8,ADA,ASE,0.0,1884.0,13560.0,0.0,1200.0,0.0,13920.0,0.0,3840.0,5,6880.8
9,ADA,ASH,70727.0,55070.0,1944240.0,2816256.0,1518840.0,2086920.0,4461120.0,5417532.0,8068320.0,9,2937669.4444444445
10,ADA,ASJ,0.0,0.0,3960.0,0.0,4560.0,17400.0,0.0,0.0,0.0,3,8640.0
11,ADA,ASK,1457.0,240.0,171840.0,266496.0,256800.0,280560.0,299520.0,291624.0,659040.0,9,247508.55555555556
12,ADA,AUA,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,13516.0,0.0,2,13358.0
13,ADA,AVA,38471.0,57252.0,1650480.0,2582528.0,1909080.0,2222760.0,3385080.0,4699790.0,9567360.0,9,2901422.3333333335
14,ADA,AVB,53501.0,42019.0,881400.0,2023424.0,1383960.0,1593600.0,3999360.0,5651373.0,12387120.0,9,3112861.888888889
15,ADA,AVD,10511.0,21166.0,864360.0,803584.0,623640.0,677760.0,1478280.0,1491915.0,2606400.0,9,953068.4444444445
16,ADA,AVE,2816.0,2517.0,99360.0,248320.0,81600.0,53040.0,561360.0,201398.0,518640.0,9,196561.22222222222
17,ADA,AVH,10050.0,7752.0,218040.0,807936.0,404640.0,571560.0,1168920.0,793435.0,1125120.0,9,567494.7777777778
18,ADA,AVJ,13335.0,6162.0,425520.0,534528.0,367080.0,397200.0,588720.0,865412.0,2580240.0,9,642021.8888888889
19,ADA,AVK,0.0,2876.0,11640.0,0.0,0.0,10440.0,0.0,0.0,45600.0,4,17639.0
20,ADA,AWA,673.0,3626.0,73320.0,7168.0,6480.0,3840.0,102360.0,0.0,328080.0,8,65693.375
