,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight
0,ADA,AIA,1,0,0,0,0,0,3,2,0,1
1,ADA,AIB,1,1,0,1,2,2,10,6,0,2
2,ADA,ASH,1,0,0,2,0,1,2,0,0,2
3,ADA,AVA,9,1,5,4,3,6,17,3,5,2
4,ADA,AVB,25,10,9,8,5,24,62,28,45,21
5,ADA,AVD,2,2,0,2,2,0,8,1,1,0
6,ADA,AVH,1,0,1,0,0,0,0,0,0,0
7,ADA,AVJ,8,5,4,2,3,7,24,10,18,7
8,ADA,OLQ,1,1,0,0,0,0,0,0,1,2
9,ADA,PVP,1,0,0,1,0,0,1,0,0,0
10,ADA,RIC,1,2,2,2,2,2,4,3,1,4
11,ADA,RIM,8,5,5,4,2,8,38,13,11,10
12,ADA,RIP,5,4,1,0,0,7,13,8,11,4
13,ADA,SDQ,1,0,0,0,0,0,0,0,0,0
14,ADA,AIZ,0,1,0,0,0,0,0,0,0,0
15,ADA,AVE,0,1,0,0,0,2,4,4,1,2
16,ADA,DVA,0,1,0,0,0,0,0,3,0,0
17,ADA,SAA,0,1,0,0,0,0,0,1,1,0
18,ADA,URA,0,1,0,0,0,0,1,0,0,1
19,ADA,RID,0,0,0,1,0,0,0,0,0,0
20,ADA,SMD,0,0,0,1,0,1,4,1,2,0
21,ADA,ADA,0,0,0,0,0,0,11,0,0,0
22,ADA,ADL,0,0,0,0,0,0,2,0,0,0
23,ADA,RIF,0,0,0,0,0,0,1,1,0,0
24,ADA,RIV,0,0,0,0,0,0,5,0,0,0
