,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,pristi14_chem.csv' with 102 nodes and 1091 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
0,ADA,AIA,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,4,1.75,4,0,no,no,no
1,ADA,AIB,1.0,1.0,0.0,1.0,2.0,2.0,10.0,6.0,0.0,5.0,2.0,9,3.3333333333333335,8,1,no,no,yes
2,ADA,ASH,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5,1.6,5,0,no,no,no
3,ADA,AVA,9.0,1.0,5.0,4.0,3.0,6.0,17.0,3.0,5.0,10.0,2.0,11,5.909090909090909,10,1,no,no,yes
4,ADA,AVB,25.0,10.0,9.0,8.0,5.0,24.0,62.0,28.0,45.0,7.0,21.0,11,22.181818181818183,10,1,no,no,yes
5,ADA,AVD,2.0,2.0,0.0,2.0,2.0,0.0,8.0,1.0,1.0,14.0,0.0,8,4.0,7,1,no,no,yes
6,ADA,AVH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2,0,no,no,no
7,ADA,AVJ,8.0,5.0,4.0,2.0,3.0,7.0,24.0,10.0,18.0,8.0,7.0,11,8.727272727272727,10,1,no,no,yes
8,ADA,OLQ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5,1.6,4,1,no,no,yes
9,ADA,PVP,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,3,0,no,no,no
