,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
0,0,ADA,ADA,0.0,0.0,11.0,0.0,0.0,1,11.0,11.0,1,0,not specific,11.0,ADA (pp) ADA,>10
1,1,ADA,ADE,1.0,0.0,0.0,2.0,2.0,3,5.0,2.5,1,2,not specific,5.0,ADA (pp) ADE,1-3
2,2,ADA,ADF,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0,ADA (pp) ADF,1-3
3,3,ADA,ADL,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0,ADA (pp) ADL,1-3
4,4,ADA,AIA,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific,5.0,ADA (pp) AIA,1-3
5,5,ADA,AIB,6.0,0.0,10.0,6.0,6.0,4,28.0,7.0,2,2,not specific,28.0,ADA (pp) AIB,>3-10
6,6,ADA,AIZ,0.0,0.0,0.0,3.0,0.0,1,3.0,0.75,0,1,not specific,3.0,ADA (pp) AIZ,1-3
7,7,ADA,ALM,0.0,0.0,0.0,3.0,0.0,1,3.0,0.6,0,1,not specific,3.0,ADA (pp) ALM,1-3
8,8,ADA,ALN,0.0,0.0,0.0,7.0,0.0,1,7.0,2.333333333333333,0,1,not specific,7.0,ADA (pp) ALN,1-3
9,9,ADA,ASH,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0,ADA (pp) ASH,1-3
10,10,ADA,AVA,3.0,5.0,17.0,20.0,6.0,5,51.0,10.2,3,2,core,51.0,ADA (pp) AVA,>10
11,11,ADA,AVB,28.0,45.0,62.0,18.0,5.0,5,158.0,158.0,3,2,core,158.0,ADA (pp) AVB,>10
12,12,ADA,AVD,1.0,1.0,8.0,31.0,10.0,5,51.0,12.75,3,2,core,51.0,ADA (pp) AVD,>10
13,13,ADA,AVE,4.0,1.0,4.0,28.0,29.0,5,66.0,33.0,3,2,core,66.0,ADA (pp) AVE,>10
14,14,ADA,AVJ,10.0,18.0,24.0,20.0,12.0,5,84.0,42.0,3,2,core,84.0,ADA (pp) AVJ,>10
15,15,ADA,AVK,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0,ADA (pp) AVK,1-3
16,16,ADA,AWA,0.0,0.0,0.0,0.0,2.0,1,2.0,0.4,0,1,not specific,2.0,ADA (pp) AWA,1-3
17,17,ADA,AWB,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific,2.0,ADA (pp) AWB,1-3
18,18,ADA,DVA,3.0,0.0,0.0,7.0,2.0,3,12.0,12.0,1,2,not specific,12.0,ADA (pp) DVA,>10
19,19,ADA,OLQ,0.0,1.0,0.0,9.0,6.0,3,16.0,8.0,1,2,not specific,16.0,ADA (pp) OLQ,>3-10
20,20,ADA,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,,1,0,not specific,1.0,ADA (pp) PVP,>10
21,21,ADA,PVQ,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific,1.0,ADA (pp) PVQ,1-3
22,22,ADA,PVR,0.0,0.0,0.0,2.0,6.0,2,8.0,8.0,0,2,pristi_specific,8.0,ADA (pp) PVR,>3-10
23,23,ADA,RIA,0.0,0.0,0.0,15.0,14.0,2,29.0,29.0,0,2,pristi_specific,29.0,ADA (pp) RIA,>10
24,24,ADA,RIB,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific,2.0,ADA (pp) RIB,1-3
25,25,ADA,RIC,3.0,1.0,4.0,6.0,0.0,4,14.0,7.0,3,1,not specific,14.0,ADA (pp) RIC,>3-10
26,26,ADA,RIF,1.0,0.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0,ADA (pp) RIF,1-3
27,27,ADA,RIM,13.0,11.0,38.0,15.0,4.0,5,81.0,81.0,3,2,core,81.0,ADA (pp) RIM,>10
28,28,ADA,RIP,8.0,11.0,13.0,0.0,0.0,3,32.0,10.666666666666666,3,0,cel_specific,32.0,ADA (pp) RIP,>10
29,29,ADA,RIV,0.0,0.0,5.0,0.0,0.0,1,5.0,1.25,1,0,not specific,5.0,ADA (pp) RIV,1-3
30,31,ADA,RMG,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0,ADA (pp) RMG,1-3
31,32,ADA,SAA,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0,ADA (pp) SAA,1-3
32,34,ADA,SIB,0.0,0.0,0.0,4.0,3.0,2,7.0,7.0,0,2,pristi_specific,7.0,ADA (pp) SIB,>3-10
33,35,ADA,SMD,1.0,2.0,4.0,5.0,0.0,4,12.0,12.0,3,1,not specific,12.0,ADA (pp) SMD,>10
34,36,ADA,URA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,ADA (pp) URA,1-3
35,37,ADA,URX,2.0,0.0,3.0,0.0,0.0,2,5.0,5.0,2,0,not specific,5.0,ADA (pp) URX,>3-10
36,38,ADA,URY,0.0,0.0,2.0,2.0,0.0,2,4.0,2.0,1,1,not specific,4.0,ADA (pp) URY,1-3
37,39,ADE,ADA,2.0,2.0,2.0,6.0,0.0,4,12.0,12.0,3,1,not specific,12.0,ADE (pp) ADA,>10
38,40,ADE,ADE,9.0,8.0,14.0,0.0,0.0,3,31.0,31.0,3,0,cel_specific,31.0,ADE (pp) ADE,>10
