,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
0,ADAL,ADAL,0.0,0.0,11.0,0.0,0.0,1,11.0,11.0,1,0,not specific
1,ADAL,ADEL,0.0,0.0,0.0,2.0,2.0,2,4.0,2.0,0,2,pristi_specific
2,ADAL,ADFR,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
3,ADAL,ADLL,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
4,ADAL,AIAL,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific
5,ADAL,AIBL,2.0,0.0,3.0,1.0,2.0,4,8.0,2.0,2,2,not specific
6,ADAL,AIBR,1.0,0.0,2.0,1.0,2.0,4,6.0,1.5,2,2,not specific
7,ADAL,AVAL,1.0,2.0,2.0,5.0,3.0,5,13.0,2.6,3,2,core
8,ADAL,AVAR,0.0,1.0,7.0,6.0,0.0,3,14.0,4.666666666666667,2,1,not specific
9,ADAL,AVBL,7.0,16.0,5.0,6.0,0.0,4,34.0,8.5,3,1,not specific
10,ADAL,AVBR,7.0,6.0,26.0,4.0,3.0,5,46.0,9.2,3,2,core
11,ADAL,AVDL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
12,ADAL,AVDR,0.0,1.0,2.0,18.0,10.0,4,31.0,7.75,2,2,not specific
13,ADAL,AVEL,0.0,0.0,3.0,0.0,5.0,2,8.0,4.0,1,1,not specific
14,ADAL,AVER,3.0,0.0,0.0,0.0,8.0,2,11.0,5.5,1,1,not specific
15,ADAL,AVJL,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
16,ADAL,AVJR,2.0,7.0,11.0,12.0,9.0,5,41.0,8.2,3,2,core
17,ADAL,AVKR,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
18,ADAL,AWAR,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific
19,ADAL,DVA,2.0,0.0,0.0,3.0,0.0,2,5.0,2.5,1,1,not specific
21,ADAL,OLQVL,0.0,1.0,0.0,4.0,6.0,3,11.0,3.6666666666666665,1,2,not specific
22,ADAL,PVPL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
23,ADAL,PVQL,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
24,ADAL,PVR,0.0,0.0,0.0,2.0,6.0,2,8.0,4.0,0,2,pristi_specific
25,ADAL,RIAL,0.0,0.0,0.0,5.0,8.0,2,13.0,6.5,0,2,pristi_specific
26,ADAL,RIBL,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
27,ADAL,RICL,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
28,ADAL,RICR,2.0,0.0,1.0,5.0,0.0,3,8.0,2.6666666666666665,2,1,not specific
29,ADAL,RIML,7.0,6.0,14.0,9.0,0.0,4,36.0,9.0,3,1,not specific
30,ADAL,RIPL,5.0,6.0,4.0,0.0,0.0,3,15.0,5.0,3,0,cel_specific
31,ADAL,RIPR,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
32,ADAL,RMFL,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
33,ADAL,RMGL,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
34,ADAL,SAADL,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
35,ADAL,SIBDR,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
36,ADAL,SMDVR,0.0,1.0,3.0,0.0,0.0,2,4.0,2.0,2,0,not specific
37,ADAL,URAVL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
38,ADAL,URXL,1.0,0.0,1.0,0.0,0.0,2,2.0,1.0,2,0,not specific
39,ADAL,URYDL,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
40,ADAR,ADER,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
41,ADAR,AIBL,2.0,0.0,1.0,4.0,0.0,3,7.0,2.3333333333333335,2,1,not specific
42,ADAR,AIBR,1.0,0.0,4.0,0.0,2.0,3,7.0,2.3333333333333335,2,1,not specific
43,ADAR,AIZR,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
44,ADAR,ALMR,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
45,ADAR,ALNR,0.0,0.0,0.0,7.0,0.0,1,7.0,7.0,0,1,not specific
46,ADAR,ASHR,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
47,ADAR,AVAL,1.0,1.0,0.0,3.0,0.0,3,5.0,1.6666666666666667,2,1,not specific
48,ADAR,AVAR,1.0,1.0,8.0,6.0,3.0,5,19.0,3.8,3,2,core
49,ADAR,AVBL,2.0,5.0,10.0,6.0,2.0,5,25.0,5.0,3,2,core
50,ADAR,AVBR,12.0,18.0,21.0,2.0,0.0,4,53.0,13.25,3,1,not specific
51,ADAR,AVDL,1.0,0.0,2.0,13.0,0.0,3,16.0,5.333333333333333,2,1,not specific
52,ADAR,AVDR,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
53,ADAR,AVEL,0.0,0.0,1.0,10.0,8.0,3,19.0,6.333333333333333,1,2,not specific
54,ADAR,AVER,1.0,1.0,0.0,18.0,8.0,4,28.0,7.0,2,2,not specific
55,ADAR,AVJL,8.0,10.0,13.0,8.0,3.0,5,42.0,8.4,3,2,core
56,ADAR,AWBR,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific
57,ADAR,DVA,1.0,0.0,0.0,4.0,2.0,3,7.0,2.3333333333333335,1,2,not specific
