,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult
0,ADA,ADA,137400.0,114688.0,176400.0,50280.0,0.0,0.0,801.0,718.0,93360.0,7555.0,1301.0,9,4,64722.555555555555,7,2,no,no,not specific,no,core
1,ADA,ADE,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,1578.0,32148.0,3714000.0,12307.0,5735.0,11,4,765452.3636363636,9,2,no,no,core,no,core
2,ADA,ADF,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,3717.0,13532.0,987600.0,1763.0,170.0,11,4,203455.63636363635,9,2,no,no,core,no,core
3,ADA,ADL,181200.0,199680.0,463920.0,514560.0,667200.0,1343231.0,19408.0,25870.0,2946000.0,6001.0,5464.0,11,4,579321.2727272727,9,2,no,no,core,no,core
4,ADA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,1,1,4839.0,0,1,no,no,not specific,no,not specific
5,ADA,AIA,0.0,125440.0,151920.0,45960.0,337320.0,770457.0,551.0,6069.0,658320.0,0.0,0.0,8,2,262004.625,8,0,no,no,not specific,no,cel_specific
6,ADA,AIB,215520.0,303360.0,265320.0,240000.0,374520.0,536953.0,11054.0,26466.0,884160.0,4540.0,4154.0,11,4,260549.72727272726,9,2,no,no,core,no,core
7,ADA,AIM,13440.0,10496.0,0.0,17280.0,49200.0,41563.0,483.0,258.0,194880.0,0.0,0.0,8,2,40950.0,8,0,no,no,not specific,no,cel_specific
8,ADA,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,1,1,398.0,1,0,no,no,not specific,no,not specific
9,ADA,AIZ,133440.0,225536.0,0.0,116760.0,310920.0,232151.0,1153.0,1534.0,14160.0,12004.0,5525.0,10,4,105318.3,8,2,no,no,not specific,no,core
10,ADA,ALM,468840.0,1058816.0,1104360.0,1026240.0,2082120.0,2487428.0,22909.0,2650.0,2490240.0,1866.0,4062.0,11,4,977230.0909090909,9,2,no,no,core,no,core
11,ADA,ALN,0.0,0.0,0.0,0.0,58440.0,6082.0,0.0,314.0,6000.0,2059.0,0.0,5,3,14579.0,4,1,no,no,not specific,no,not specific
13,ADA,ASE,13560.0,0.0,1200.0,0.0,13920.0,0.0,0.0,1884.0,3840.0,0.0,0.0,5,2,6880.8,5,0,no,no,not specific,no,cel_specific
