,Unnamed: 0,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size,witvliet_1-S-log10,witvliet_2-S-log10,witvliet_3-S-log10,witvliet_4-S-log10,witvliet_5-S-log10,witvliet_6-S-log10,cel_jsh-S-log10,witvliet_8-S-log10,cel_n2u-S-log10,pristi_s14-S-log10,pristi_s15-S-log10,ave_scaled_adj_cel,ave_scaled_adj_pristi,ave_syn_cel,ave_syn_pristi,ave_syn_cel_recode,ave_syn_pristi_recode,pre_brittin,post_brittin,ganglia_check_result,ganglia_check_result_encoded,specific_adj_encoded
0,0,ADA,ADA,137400.0,114688.0,176400.0,50280.0,0.0,0.0,801.0,718.0,93360.0,7555.0,1301.0,9.0,4.0,64722.555555555555,7.0,2.0,no,no,not specific,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,no,no,not specific,1.1,0.0,0.4525892473276991,0.3773187555255504,0.45411210018225034,0.29294515557013034,-1.0,-1.0,0.035006612477327836,0.26340974285848695,0.009391682376558075,0.36182304553694977,0.11741443193182821,-0.012802967075777438,0.239618738734389,1.2222222222222223,0.0,1,0,Avoidance,Avoidance,same,1,2
1,2,ADA,ADE,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,1578.0,32148.0,3714000.0,12307.0,5735.0,11.0,4.0,765452.3636363636,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.6666666666666667,1.0,2.0,no,no,not specific,0.1,2.0,0.5498348475181583,0.5656782449663711,0.6003268362480754,0.6252787807709399,0.6278910754304321,0.565538889672835,0.13985809183479403,0.6700454785867171,0.5925548165482581,0.4362280235825333,0.34845864259169956,0.5485563401751756,0.39234333308711644,0.0,2.0,0,1,Avoidance,Unclassified,different,0,1
2,3,ADA,ADE,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,1578.0,32148.0,3714000.0,12307.0,5735.0,11.0,4.0,765452.3636363636,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,3.0,3.0,1.0,2.0,no,no,not specific,0.1,4.0,0.5498348475181583,0.5656782449663711,0.6003268362480754,0.6252787807709399,0.6278910754304321,0.565538889672835,0.13985809183479403,0.6700454785867171,0.5925548165482581,0.4362280235825333,0.34845864259169956,0.5485563401751756,0.39234333308711644,0.0,4.0,0,1,Avoidance,Unclassified,different,0,1
3,6,ADA,ADF,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,3717.0,13532.0,987600.0,1763.0,170.0,11.0,4.0,203455.63636363635,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,no,no,not specific,0.0,0.5,0.20303820361623814,0.295372464416251,0.3264543301735674,0.5195141407168424,0.5200727797655555,0.3902825231601541,0.2724076979920609,0.5238149928538465,0.4597796930766045,0.13997518559321898,-0.1988784176156262,0.39008186953012447,-0.029451616011203607,0.0,0.5,0,1,Avoidance,Taxis,different,0,1
4,7,ADA,ADF,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,3717.0,13532.0,987600.0,1763.0,170.0,11.0,4.0,203455.63636363635,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,no,no,not specific,0.0,0.5,0.20303820361623814,0.295372464416251,0.3264543301735674,0.5195141407168424,0.5200727797655555,0.3902825231601541,0.2724076979920609,0.5238149928538465,0.4597796930766045,0.13997518559321898,-0.1988784176156262,0.39008186953012447,-0.029451616011203607,0.0,0.5,0,1,Avoidance,Taxis,different,0,1
5,10,ADA,ADL,181200.0,199680.0,463920.0,514560.0,667200.0,1343231.0,19408.0,25870.0,2946000.0,6001.0,5464.0,11.0,4.0,579321.2727272727,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.6666666666666665,1.0,2.0,no,no,not specific,0.2,3.0,0.4865633627548318,0.4428741577245392,0.5705028483903718,0.5707169124679023,0.5416873330306902,0.6028137929819934,0.52818359442335,0.6444707667058021,0.5592158468626274,0.3267104748315679,0.34091776263472595,0.5496698461491232,0.3338141187331469,0.2222222222222222,3.0,1,1,Avoidance,Taxis,different,0,1
6,12,ADA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,1.0,1.0,4839.0,0.0,1.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3219947554874454,-1.0,-0.3390026222562773,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
7,14,ADA,AIA,0.0,125440.0,151920.0,45960.0,337320.0,770457.0,551.0,6069.0,658320.0,0.0,0.0,8.0,2.0,262004.625,8.0,0.0,no,no,not specific,no,cel_specific,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,1.75,4.0,0.0,no,no,not specific,0.7,0.0,-1.0,0.38791306417900295,0.43612916403274715,0.2822156950745045,0.4632793349949609,0.5396752459079734,-0.022811747306893948,0.47903946003833586,0.33674539802781434,-1.0,-1.0,0.2113539572164939,-1.0,0.5555555555555556,0.0,1,0,Avoidance,Taxis,different,0,2
8,16,ADA,AIB,215520.0,303360.0,265320.0,240000.0,374520.0,536953.0,11054.0,26466.0,884160.0,4540.0,4154.0,11.0,4.0,260549.7272727273,9.0,2.0,no,no,core,no,core,2.0,1.0,0.0,1.0,2.0,1.0,2.0,10.0,6.0,0.0,6.0,6.0,10.0,3.7,8.0,2.0,no,no,not specific,2.5,6.0,0.5078600376369982,0.49231613699709675,0.5032441402285701,0.4796262008104446,0.47530544726517965,0.49866120199672626,0.4410670677015587,0.5116007016674293,0.5627108929924971,0.28417181106548606,0.2982178224702541,0.49693242525516673,0.29119481676787007,2.111111111111111,6.0,1,1,Avoidance,Taxis,different,0,1
9,18,ADA,AIM,13440.0,10496.0,0.0,17280.0,49200.0,41563.0,483.0,258.0,194880.0,0.0,0.0,8.0,2.0,40950.0,8.0,0.0,no,no,not specific,no,cel_specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,0.16717149066251435,0.09462687767661015,-1.0,0.1653846917095696,0.24197080611251032,0.20802242252476555,-0.0431591390902496,0.34465267405000577,-0.14728880393741628,-1.0,-1.0,0.003486779967589985,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
10,20,ADA,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,1.0,1.0,398.0,1.0,0.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0809767017684353,-1.0,-1.0,-0.8978863001964927,-1.0,0.0,0.0,0,0,Avoidance,Taxis,different,0,2
11,22,ADA,AIZ,133440.0,225536.0,0.0,116760.0,310920.0,232151.0,1153.0,1534.0,14160.0,12004.0,5525.0,10.0,4.0,105318.3,8.0,2.0,no,no,not specific,no,core,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,no,no,not specific,0.1,1.5,0.4489985895890449,0.4572696034076158,-1.0,0.39357057599707557,0.45391068228489395,0.4034141813029677,0.09132677965456493,0.05520279174079068,0.12577406577166017,0.43242682068753346,0.34264726778078347,0.15882969663873486,0.38753704423415847,0.1111111111111111,1.5,1,1,Avoidance,Taxis,different,0,2
