,pre_x,post_x,witvliet_7_syn_x,witvliet_8_syn_x,cel_n2u_syn_x,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,pre_alpha,post_alpha,pre_y,post_y,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn_y,witvliet_7_syn_y,witvliet_8_syn_y,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size,adult_adj_specifc,peters_equal_pristi,peters_equal_cel
0,ADA,ADA,0.0,0.0,11.0,0.0,0.0,1.0,11.0,11.0,1.0,0.0,not specific,ADA,ADA,ADA,ADA,137400.0,114688.0,176400.0,50280.0,0.0,0.0,801.0,718.0,93360.0,7555.0,1301.0,9.0,4.0,64722.555555555555,7.0,2.0,no,no,not specific,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,no,no,not specific,1.1,0.0,nan,False,False
1,ADA,ADE,1.0,0.0,0.0,2.0,2.0,3.0,5.0,2.5,1.0,2.0,not specific,ADA,ADE,ADA,ADE,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,1578.0,32148.0,3714000.0,12307.0,5735.0,11.0,4.0,765452.3636363636,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0,3.6666666666666665,1.0,2.0,no,no,not specific,0.1,5.0,nan,False,False
2,ADE,ADA,2.0,2.0,2.0,6.0,0.0,4.0,12.0,12.0,3.0,1.0,not specific,ADA,ADE,ADA,ADE,303360.0,564224.0,594360.0,812520.0,1412280.0,967464.0,1578.0,32148.0,3714000.0,12307.0,5735.0,11.0,4.0,765452.3636363636,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0,3.6666666666666665,1.0,2.0,no,no,not specific,0.1,5.0,nan,False,False
3,ADA,ADF,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,not specific,ADA,ADF,ADA,ADF,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,3717.0,13532.0,987600.0,1763.0,170.0,11.0,4.0,203455.63636363635,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,no,no,not specific,0.0,1.0,nan,False,False
4,ADF,ADA,1.0,0.0,10.0,1.0,0.0,3.0,12.0,12.0,2.0,1.0,not specific,ADA,ADF,ADA,ADF,18000.0,57344.0,61080.0,335160.0,552840.0,206806.0,3717.0,13532.0,987600.0,1763.0,170.0,11.0,4.0,203455.63636363635,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,no,no,not specific,0.0,1.0,nan,False,False
5,ADA,ADL,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,not specific,ADA,ADL,ADA,ADL,181200.0,199680.0,463920.0,514560.0,667200.0,1343231.0,19408.0,25870.0,2946000.0,6001.0,5464.0,11.0,4.0,579321.2727272727,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.6666666666666665,1.0,2.0,no,no,not specific,0.2,3.0,nan,False,False
6,ADL,ADA,0.0,2.0,2.0,3.0,3.0,4.0,10.0,10.0,2.0,2.0,not specific,ADA,ADL,ADA,ADL,181200.0,199680.0,463920.0,514560.0,667200.0,1343231.0,19408.0,25870.0,2946000.0,6001.0,5464.0,11.0,4.0,579321.2727272727,9.0,2.0,no,no,core,no,core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.6666666666666665,1.0,2.0,no,no,not specific,0.2,3.0,nan,False,False
7,,,,,,,,,,,,,,,,ADA,AFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,1.0,1.0,4839.0,0.0,1.0,no,no,not specific,no,not specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,none,0.0,0.0,nan,False,False
8,ADA,AIA,2.0,0.0,3.0,0.0,0.0,2.0,5.0,2.5,2.0,0.0,not specific,ADA,AIA,ADA,AIA,0.0,125440.0,151920.0,45960.0,337320.0,770457.0,551.0,6069.0,658320.0,0.0,0.0,8.0,2.0,262004.625,8.0,0.0,no,no,not specific,no,cel_specific,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,1.75,4.0,0.0,no,no,not specific,0.7,0.0,cel_specific,False,False
9,AIA,ADA,4.0,5.0,8.0,0.0,0.0,3.0,17.0,17.0,3.0,0.0,cel_specific,ADA,AIA,ADA,AIA,0.0,125440.0,151920.0,45960.0,337320.0,770457.0,551.0,6069.0,658320.0,0.0,0.0,8.0,2.0,262004.625,8.0,0.0,no,no,not specific,no,cel_specific,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,1.75,4.0,0.0,no,no,not specific,0.7,0.0,cel_specific,False,True
